,home_V,home_D,home_E,home_GF,home_AVG_GF,home_GS,home_AVG_GS,home_VG,home_DG,home_EG,home_GFG,home_AVG_GFG,home_GSG,home_AVG_GSG,away_V,away_D,away_E,away_GF,away_AVG_GF,away_GS,away_AVG_GS,away_VG,away_DG,away_EG,away_GFG,away_AVG_GFG,away_GSG,away_AVG_GSG,h_buildUpPlaySpeed,h_buildUpPlaySpeedClass,h_buildUpPlayDribblingClass,h_buildUpPlayPassing,h_buildUpPlayPassingClass,h_buildUpPlayPositioningClass,h_chanceCreationPassing,h_chanceCreationPassingClass,h_chanceCreationCrossing,h_chanceCreationCrossingClass,h_chanceCreationShooting,h_chanceCreationShootingClass,h_chanceCreationPositioningClass,h_defencePressure,h_defencePressureClass,h_defenceAggression,h_defenceAggressionClass,h_defenceTeamWidth,h_defenceTeamWidthClass,h_defenceDefenderLineClass,a_buildUpPlaySpeed,a_buildUpPlaySpeedClass,a_buildUpPlayDribblingClass,a_buildUpPlayPassing,a_buildUpPlayPassingClass,a_buildUpPlayPositioningClass,a_chanceCreationPassing,a_chanceCreationPassingClass,a_chanceCreationCrossing,a_chanceCreationCrossingClass,a_chanceCreationShooting,a_chanceCreationShootingClass,a_chanceCreationPositioningClass,a_defencePressure,a_defencePressureClass,a_defenceAggression,a_defenceAggressionClass,a_defenceTeamWidth,a_defenceTeamWidthClass,a_defenceDefenderLineClass,h_avg_height,h_avg_weight,a_avg_height,a_avg_weight,h_overall,h_potential,h_def,h_mid,h_att,a_overall,a_potential,a_def,a_mid,a_att,h_date,a_date,id,country_id,league_id,season,stage,date,home_team_api_id,away_team_api_id,B365H,B365D,B365A,formation_h,formation_a,Output
0,2.0,1.0,0.0,5.0,1.66666666667,4.0,1.33333333333,6.0,2.0,2.0,22.0,2.2,10.0,1.0,1.0,1.0,0.0,3.0,1.5,2.0,1.0,6.0,2.0,2.0,22.0,2.2,10.0,1.0,66.0,Balanced,Little,30.0,Short,Free Form,30.0,Safe,45.0,Normal,35.0,Normal,Free Form,30.0,Deep,40.0,Press,50.0,Normal,Cover,70.0,Fast,Little,60.0,Mixed,Organised,65.0,Normal,70.0,Lots,60.0,Normal,Organised,45.0,Medium,65.0,Press,45.0,Normal,Cover,180.109090909,73.028312,185.189090909,81.9352094545,80.27272727272727,86.36363636363636,78.6,79.33333333333333,84.0,73.0,78.72727272727273,71.8,75.0,72.0,8 days 00:00:00.000000000,7 days 00:00:00.000000000,2510,1729,1729,2010/2011,11,2010-11-07,9825,10261,1.29,5.5,11.0,4-3-3,4-4-2,A
0,1.0,1.0,1.0,5.0,1.66666666667,5.0,1.66666666667,3.0,4.0,3.0,10.0,1.0,14.0,1.4,1.0,1.0,0.0,1.0,0.5,2.0,1.0,3.0,4.0,3.0,10.0,1.0,14.0,1.4,50.0,Balanced,Little,35.0,Mixed,Organised,50.0,Normal,60.0,Normal,70.0,Lots,Organised,40.0,Medium,60.0,Press,40.0,Normal,Cover,70.0,Fast,Little,60.0,Mixed,Free Form,56.0,Normal,70.0,Lots,70.0,Lots,Free Form,30.0,Deep,60.0,Press,35.0,Normal,Cover,183.803636364,79.7497207273,184.496363636,80.6156690909,80.18181818181819,84.45454545454545,78.4,81.25,82.5,82.63636363636364,86.45454545454545,83.6,80.66666666666667,83.0,7 days 00:00:00.000000000,8 days 00:00:00.000000000,2511,1729,1729,2010/2011,11,2010-11-07,8650,8455,3.8,3.4,2.0,4-4-2,4-3-3,H
0,1.0,0.0,1.0,1.0,0.5,0.0,0.0,2.0,2.0,6.0,9.0,0.9,12.0,1.2,0.0,1.0,2.0,3.0,1.0,7.0,2.33333333333,2.0,2.0,6.0,9.0,0.9,12.0,1.2,60.0,Balanced,Little,70.0,Long,Organised,70.0,Risky,70.0,Lots,55.0,Normal,Organised,35.0,Medium,70.0,Double,35.0,Normal,Cover,65.0,Balanced,Little,70.0,Long,Organised,70.0,Risky,70.0,Lots,55.0,Normal,Organised,35.0,Medium,70.0,Double,35.0,Normal,Cover,182.649090909,77.8528814545,186.805454545,79.7909563636,73.72727272727273,79.45454545454545,74.6,73.5,72.0,74.27272727272727,78.63636363636364,74.4,73.0,76.5,6 days 00:00:00.000000000,7 days 00:00:00.000000000,2512,1729,1729,2010/2011,11,2010-11-06,8472,10194,2.1,3.2,3.75,4-4-2,4-4-2,H
0,0.0,1.0,1.0,1.0,0.5,2.0,1.0,2.0,5.0,3.0,9.0,0.9,12.0,1.2,1.0,2.0,0.0,3.0,1.0,4.0,1.33333333333,2.0,5.0,3.0,9.0,0.9,12.0,1.2,55.0,Balanced,Little,70.0,Long,Organised,60.0,Normal,70.0,Lots,55.0,Normal,Organised,45.0,Medium,70.0,Double,45.0,Normal,Cover,70.0,Fast,Little,70.0,Long,Organised,70.0,Risky,70.0,Lots,50.0,Normal,Organised,35.0,Medium,70.0,Double,35.0,Normal,Cover,184.727272727,80.9867898182,181.956363636,77.2755825455,75.9090909090909,80.54545454545455,75.8,76.0,76.0,72.63636363636364,77.54545454545455,71.6,72.8,77.0,7 days 00:00:00.000000000,7 days 00:00:00.000000000,2513,1729,1729,2010/2011,11,2010-11-06,8655,8528,1.8,3.6,4.5,4-1-4-1,4-5-1,H
0,1.0,1.0,1.0,3.0,1.0,2.0,0.666666666667,2.0,2.0,6.0,12.0,1.2,11.0,1.1,0.0,1.0,1.0,2.0,1.0,3.0,1.5,2.0,2.0,6.0,12.0,1.2,11.0,1.1,60.0,Balanced,Little,70.0,Long,Organised,70.0,Risky,70.0,Lots,50.0,Normal,Organised,40.0,Medium,35.0,Press,40.0,Normal,Cover,70.0,Fast,Little,59.0,Mixed,Organised,65.0,Normal,70.0,Lots,50.0,Normal,Free Form,30.0,Deep,70.0,Double,30.0,Narrow,Cover,183.110909091,79.4198356364,181.032727273,76.4921054545,76.9090909090909,80.9090909090909,77.6,75.25,78.5,77.9090909090909,82.81818181818181,79.0,77.2,76.0,7 days 00:00:00.000000000,6 days 00:00:00.000000000,2514,1729,1729,2010/2011,11,2010-11-06,9879,10252,2.2,3.25,3.4,4-5-1,4-5-1,D
0,1.0,1.0,1.0,2.0,0.666666666667,2.0,0.666666666667,2.0,3.0,5.0,10.0,1.0,12.0,1.2,0.0,1.0,1.0,1.0,0.5,2.0,1.0,2.0,3.0,5.0,10.0,1.0,12.0,1.2,70.0,Fast,Little,70.0,Long,Organised,70.0,Risky,70.0,Lots,70.0,Lots,Organised,70.0,High,70.0,Double,70.0,Wide,Cover,58.0,Balanced,Little,30.0,Short,Organised,31.0,Safe,70.0,Lots,50.0,Normal,Organised,30.0,Deep,70.0,Double,30.0,Narrow,Cover,185.881818182,80.0383701818,183.110909091,78.5126516364,77.0,81.0,76.2,78.0,77.0,75.27272727272727,79.45454545454545,75.0,76.0,75.0,6 days 00:00:00.000000000,7 days 00:00:00.000000000,2515,1729,1729,2010/2011,11,2010-11-06,8658,8654,1.91,3.4,4.2,4-4-2,4-3-3,D
0,1.0,1.0,1.0,4.0,1.33333333333,4.0,1.33333333333,2.0,2.0,6.0,13.0,1.3,14.0,1.4,0.0,0.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,6.0,13.0,1.3,14.0,1.4,55.0,Balanced,Little,70.0,Long,Organised,70.0,Risky,70.0,Lots,45.0,Normal,Organised,35.0,Medium,70.0,Double,35.0,Normal,Cover,70.0,Fast,Little,50.0,Mixed,Organised,50.0,Normal,65.0,Normal,50.0,Normal,Organised,50.0,Medium,50.0,Press,50.0,Normal,Cover,184.034545455,77.5229963636,185.42,76.1622203636,,,,75.75,76.5,79.18181818181819,82.36363636363636,78.8,79.0,80.5,6 days 00:00:00.000000000,7 days 00:00:00.000000000,2516,1729,1729,2010/2011,11,2010-11-06,8559,8586,3.0,3.3,2.4,4-4-2,4-5-1,H
0,1.0,2.0,0.0,5.0,1.66666666667,6.0,2.0,4.0,5.0,1.0,15.0,1.5,21.0,2.1,1.0,1.0,0.0,2.0,1.0,3.0,1.5,4.0,5.0,1.0,15.0,1.5,21.0,2.1,70.0,Fast,Little,70.0,Long,Organised,70.0,Risky,70.0,Lots,65.0,Normal,Organised,70.0,High,70.0,Double,70.0,Wide,Cover,60.0,Balanced,Little,65.0,Mixed,Organised,60.0,Normal,70.0,Lots,45.0,Normal,Organised,40.0,Medium,70.0,Double,40.0,Normal,Cover,181.032727273,74.5127949091,180.109090909,76.4921054545,68.63636363636364,72.9090909090909,67.8,69.66666666666667,69.0,78.63636363636364,82.63636363636364,78.8,78.5,78.5,5 days 00:00:00.000000000,7 days 00:00:00.000000000,2518,1729,1729,2010/2011,11,2010-11-06,8483,8668,4.5,3.6,1.8,4-3-3,4-5-1,D
0,1.0,0.0,1.0,3.0,1.5,2.0,1.0,4.0,4.0,3.0,13.0,1.18181818182,14.0,1.27272727273,1.0,2.0,0.0,4.0,1.33333333333,7.0,2.33333333333,4.0,4.0,3.0,13.0,1.18181818182,14.0,1.27272727273,70.0,Fast,Little,50.0,Mixed,Organised,50.0,Normal,65.0,Normal,50.0,Normal,Organised,50.0,Medium,50.0,Press,50.0,Normal,Cover,60.0,Balanced,Little,70.0,Long,Organised,70.0,Risky,70.0,Lots,55.0,Normal,Organised,35.0,Medium,70.0,Double,35.0,Normal,Cover,183.110909091,76.2446916364,182.88,76.4921054545,79.81818181818181,83.0,78.8,80.5,81.0,74.27272727272727,79.36363636363636,75.2,73.5,73.5,3 days 00:00:00.000000000,3 days 00:00:00.000000000,2519,1729,1729,2010/2011,12,2010-11-09,8586,8472,1.53,4.0,6.5,4-5-1,4-5-1,D
0,0.0,1.0,1.0,2.0,1.0,3.0,1.5,1.0,6.0,4.0,9.0,0.818181818182,20.0,1.81818181818,0.0,1.0,2.0,3.0,1.0,4.0,1.33333333333,1.0,6.0,4.0,9.0,0.818181818182,20.0,1.81818181818,58.0,Balanced,Little,30.0,Short,Organised,31.0,Safe,70.0,Lots,50.0,Normal,Organised,30.0,Deep,70.0,Double,30.0,Narrow,Cover,65.0,Balanced,Little,40.0,Mixed,Organised,70.0,Risky,70.0,Lots,55.0,Normal,Organised,70.0,High,70.0,Double,70.0,Wide,Cover,181.725454545,76.4096341818,184.034545455,78.5538872727,75.45454545454545,79.0,75.0,75.5,76.5,72.27272727272727,78.72727272727273,73.2,71.0,74.0,4 days 00:00:00.000000000,3 days 00:00:00.000000000,2520,1729,1729,2010/2011,12,2010-11-10,8654,8659,2.3,3.25,3.2,4-4-2,4-5-1,D
