,home_V,home_D,home_E,home_GF,home_AVG_GF,home_GS,home_AVG_GS,home_VG,home_DG,home_EG,home_GFG,home_AVG_GFG,home_GSG,home_AVG_GSG,away_V,away_D,away_E,away_GF,away_AVG_GF,away_GS,away_AVG_GS,away_VG,away_DG,away_EG,away_GFG,away_AVG_GFG,away_GSG,away_AVG_GSG,h_buildUpPlaySpeed,h_buildUpPlaySpeedClass,h_buildUpPlayDribblingClass,h_buildUpPlayPassing,h_buildUpPlayPassingClass,h_buildUpPlayPositioningClass,h_chanceCreationPassing,h_chanceCreationPassingClass,h_chanceCreationCrossing,h_chanceCreationCrossingClass,h_chanceCreationShooting,h_chanceCreationShootingClass,h_chanceCreationPositioningClass,h_defencePressure,h_defencePressureClass,h_defenceAggression,h_defenceAggressionClass,h_defenceTeamWidth,h_defenceTeamWidthClass,h_defenceDefenderLineClass,a_buildUpPlaySpeed,a_buildUpPlaySpeedClass,a_buildUpPlayDribblingClass,a_buildUpPlayPassing,a_buildUpPlayPassingClass,a_buildUpPlayPositioningClass,a_chanceCreationPassing,a_chanceCreationPassingClass,a_chanceCreationCrossing,a_chanceCreationCrossingClass,a_chanceCreationShooting,a_chanceCreationShootingClass,a_chanceCreationPositioningClass,a_defencePressure,a_defencePressureClass,a_defenceAggression,a_defenceAggressionClass,a_defenceTeamWidth,a_defenceTeamWidthClass,a_defenceDefenderLineClass,h_avg_height,h_avg_weight,a_avg_height,a_avg_weight,h_overall,h_potential,h_def,h_mid,h_att,a_overall,a_potential,a_def,a_mid,a_att,h_date,a_date,id,country_id,league_id,season,stage,date,home_team_api_id,away_team_api_id,B365H,B365D,B365A,formation_h,formation_a,Output
0,1,1,1,5,1.66666666667,6,2.0,14,3,6,46,2.0,23,1.0,0,0,2,2,1.0,2,1.0,14,3,6,46,2.0,23,1.0,59,Balanced,Normal,29,Short,Organised,32,Safe,49,Normal,62,Normal,Organised,42,Medium,44,Press,54,Normal,Cover,56,Balanced,Normal,51,Mixed,Organised,54,Normal,60,Normal,48,Normal,Organised,38,Medium,37,Press,46,Normal,Cover,181.494545455,76.203456,182.187272727,78.5951229091,82.72727272727273,82.9090909090909,81.8,82.75,85.0,71.81818181818181,73.81818181818181,70.25,72.5,73.0,7 days 00:00:00.000000000,7 days 00:00:00.000000000,4173,1729,1729,2014/2015,24,2015-02-07,8456,8667,1.18,8.0,19.0,4-4-2,3-6-1,D
0,0,1,2,1,0.333333333333,3,1.0,5,14,4,24,1.04347826087,42,1.82608695652,0,2,0,2,1.0,5,2.5,5,14,4,24,1.04347826087,42,1.82608695652,52,Balanced,Normal,53,Mixed,Organised,53,Normal,54,Normal,54,Normal,Organised,50,Medium,44,Press,54,Normal,Cover,47,Balanced,Normal,40,Mixed,Organised,42,Normal,56,Normal,51,Normal,Free Form,62,Medium,64,Press,44,Normal,Cover,185.650909091,80.3270196364,182.88,76.0385134545,74.27272727272727,77.0,74.5,73.0,77.0,73.9090909090909,78.18181818181819,72.0,75.33333333333333,75.66666666666667,7 days 00:00:00.000000000,6 days 00:00:00.000000000,4175,1729,1729,2014/2015,24,2015-02-07,10172,8466,4.75,3.6,1.85,3-6-1,4-3-3,A
0,0,1,1,1,0.5,6,3.0,9,8,6,27,1.17391304348,30,1.30434782609,1,1,1,3,1.0,5,1.66666666667,9,8,6,27,1.17391304348,30,1.30434782609,63,Balanced,Normal,34,Mixed,Organised,34,Normal,51,Normal,36,Normal,Free Form,51,Medium,58,Press,54,Normal,Cover,60,Balanced,Little,61,Mixed,Organised,56,Normal,44,Normal,58,Normal,Organised,41,Medium,38,Press,53,Normal,Cover,181.956363636,75.8323352727,182.418181818,78.925008,73.36363636363636,75.9090909090909,74.4,75.0,71.25,73.27272727272727,74.81818181818181,73.4,72.5,74.5,6 days 00:00:00.000000000,7 days 00:00:00.000000000,4176,1729,1729,2014/2015,24,2015-02-07,10003,8472,1.91,3.5,4.6,4-2-3-1,4-5-1,D
0,2,0,1,7,2.33333333333,4,1.33333333333,12,7,4,35,1.52173913043,30,1.30434782609,1,1,0,4,2.0,2,1.0,12,7,4,35,1.52173913043,30,1.30434782609,41,Balanced,Normal,38,Mixed,Organised,41,Normal,59,Normal,62,Normal,Organised,58,Medium,51,Press,56,Normal,Cover,59,Balanced,Normal,26,Short,Organised,28,Safe,55,Normal,64,Normal,Free Form,51,Medium,44,Press,52,Normal,Cover,182.88,73.935496,182.418181818,76.0797490909,77.0909090909091,81.9090909090909,78.0,71.5,78.75,78.45454545454545,81.45454545454545,76.2,72.0,82.0,7 days 00:00:00.000000000,6 days 00:00:00.000000000,4177,1729,1729,2014/2015,24,2015-02-07,8586,9825,3.25,3.5,2.3,4-2-3-1,4-1-2-3,H
0,2,0,0,8,4.0,0,0.0,12,6,6,45,1.875,27,1.125,1,2,0,3,1.0,4,1.33333333333,12,6,6,45,1.875,27,1.125,59,Balanced,Normal,26,Short,Organised,28,Safe,55,Normal,64,Normal,Free Form,51,Medium,44,Press,52,Normal,Cover,63,Balanced,Normal,48,Mixed,Organised,47,Normal,62,Normal,69,Lots,Organised,58,Medium,62,Press,54,Normal,Cover,179.416363636,72.8221338182,181.725454545,77.4817607273,79.0909090909091,81.72727272727273,76.2,72.0,83.4,71.54545454545455,73.9090909090909,72.33333333333333,70.0,73.0,3 days 00:00:00.000000000,3 days 00:00:00.000000000,4179,1729,1729,2014/2015,25,2015-02-10,9825,8197,1.29,6.0,12.0,4-1-4-1,5-4-1,H
0,1,1,0,2,1.0,3,1.5,4,12,8,21,0.875,34,1.41666666667,0,2,1,1,0.333333333333,5,1.66666666667,4,12,8,21,0.875,34,1.41666666667,56,Balanced,Normal,51,Mixed,Organised,54,Normal,60,Normal,48,Normal,Organised,38,Medium,37,Press,46,Normal,Cover,66,Balanced,Little,72,Long,Organised,63,Normal,48,Normal,56,Normal,Organised,39,Medium,42,Press,52,Normal,Cover,183.803636364,79.7084850909,180.109090909,74.0592029091,72.18181818181819,73.45454545454545,70.25,72.2,76.0,73.63636363636364,77.45454545454545,74.2,73.25,73.0,3 days 00:00:00.000000000,3 days 00:00:00.000000000,4180,1729,1729,2014/2015,25,2015-02-10,8667,10252,2.38,3.1,3.5,3-5-2,4-4-2,H
0,1,1,0,3,1.5,2,1.0,12,4,8,40,1.66666666667,23,0.958333333333,1,0,2,4,1.33333333333,2,0.666666666667,12,4,8,40,1.66666666667,23,0.958333333333,46,Balanced,Normal,54,Mixed,Organised,49,Normal,72,Lots,56,Normal,Organised,42,Medium,41,Press,56,Normal,Cover,48,Balanced,Little,74,Long,Organised,72,Risky,59,Normal,58,Normal,Organised,54,Medium,57,Press,58,Normal,Cover,183.572727273,75.9560421818,182.649090909,76.8632261818,80.0909090909091,84.0,76.4,83.66666666666667,82.66666666666667,70.72727272727273,73.72727272727273,70.8,70.25,71.5,3 days 00:00:00.000000000,3 days 00:00:00.000000000,4181,1729,1729,2014/2015,25,2015-02-11,10260,8191,1.29,6.0,12.0,4-1-3-2,4-5-1,H
0,1,0,1,4,2.0,2,1.0,11,7,6,33,1.375,27,1.125,2,0,1,3,1.0,0,0.0,11,7,6,33,1.375,27,1.125,71,Fast,Normal,32,Short,Organised,34,Normal,41,Normal,61,Normal,Organised,51,Medium,48,Press,62,Normal,Cover,41,Balanced,Normal,38,Mixed,Organised,41,Normal,59,Normal,62,Normal,Organised,58,Medium,51,Press,56,Normal,Cover,182.187272727,76.3683985455,182.88,73.935496,78.18181818181819,82.81818181818181,78.0,76.5,80.66666666666667,77.0909090909091,81.9090909090909,78.0,71.5,78.75,3 days 00:00:00.000000000,3 days 00:00:00.000000000,4184,1729,1729,2014/2015,25,2015-02-10,8650,8586,1.91,3.8,4.2,3-6-1,4-2-3-1,H
0,1,1,0,1,0.5,3,1.5,5,11,8,22,0.916666666667,34,1.41666666667,0,0,3,3,1.0,3,1.0,5,11,8,22,0.916666666667,34,1.41666666667,55,Balanced,Normal,51,Mixed,Organised,53,Normal,53,Normal,57,Normal,Organised,41,Medium,40,Press,49,Normal,Cover,63,Balanced,Normal,34,Mixed,Organised,34,Normal,51,Normal,36,Normal,Free Form,51,Medium,58,Press,54,Normal,Cover,184.496363636,80.0383701818,181.494545455,75.9148065455,74.0909090909091,76.0909090909091,74.0,72.5,75.0,74.81818181818181,77.27272727272727,74.4,75.0,75.25,3 days 00:00:00.000000000,4 days 00:00:00.000000000,4185,1729,1729,2014/2015,25,2015-02-11,8659,10003,2.55,3.25,3.1,4-2-3-1,4-2-3-1,H
0,1,0,1,3,1.5,1,0.5,17,2,5,54,2.25,21,0.875,2,1,0,10,3.33333333333,6,2.0,17,2,5,54,2.25,21,0.875,67,Fast,Normal,38,Mixed,Organised,41,Normal,61,Normal,68,Lots,Organised,39,Medium,41,Press,46,Normal,Cover,61,Balanced,Normal,42,Mixed,Organised,39,Normal,59,Normal,48,Normal,Organised,52,Medium,58,Press,60,Normal,Cover,183.803636364,80.3682552727,181.263636364,77.2755825455,81.81818181818181,83.72727272727273,81.0,82.0,82.75,77.0909090909091,80.81818181818181,76.8,76.0,78.0,4 days 00:00:00.000000000,4 days 00:00:00.000000000,4186,1729,1729,2014/2015,25,2015-02-11,8455,8668,1.33,5.5,11.0,4-2-3-1,4-2-3-1,H
