,home_V,home_D,home_E,home_GF,home_AVG_GF,home_GS,home_AVG_GS,home_VG,home_DG,home_EG,home_GFG,home_AVG_GFG,home_GSG,home_AVG_GSG,away_V,away_D,away_E,away_GF,away_AVG_GF,away_GS,away_AVG_GS,away_VG,away_DG,away_EG,away_GFG,away_AVG_GFG,away_GSG,away_AVG_GSG,h_buildUpPlaySpeed,h_buildUpPlaySpeedClass,h_buildUpPlayDribblingClass,h_buildUpPlayPassing,h_buildUpPlayPassingClass,h_buildUpPlayPositioningClass,h_chanceCreationPassing,h_chanceCreationPassingClass,h_chanceCreationCrossing,h_chanceCreationCrossingClass,h_chanceCreationShooting,h_chanceCreationShootingClass,h_chanceCreationPositioningClass,h_defencePressure,h_defencePressureClass,h_defenceAggression,h_defenceAggressionClass,h_defenceTeamWidth,h_defenceTeamWidthClass,h_defenceDefenderLineClass,a_buildUpPlaySpeed,a_buildUpPlaySpeedClass,a_buildUpPlayDribblingClass,a_buildUpPlayPassing,a_buildUpPlayPassingClass,a_buildUpPlayPositioningClass,a_chanceCreationPassing,a_chanceCreationPassingClass,a_chanceCreationCrossing,a_chanceCreationCrossingClass,a_chanceCreationShooting,a_chanceCreationShootingClass,a_chanceCreationPositioningClass,a_defencePressure,a_defencePressureClass,a_defenceAggression,a_defenceAggressionClass,a_defenceTeamWidth,a_defenceTeamWidthClass,a_defenceDefenderLineClass,h_avg_height,h_avg_weight,a_avg_height,a_avg_weight,h_overall,h_potential,h_def,h_mid,h_att,a_overall,a_potential,a_def,a_mid,a_att,a_date,h_date,id,country_id,league_id,season,stage,home_team_api_id,away_team_api_id,B365H,B365D,B365A,formation_h,formation_a,Output
0,1,0,1,4,2.0,2,1.0,3,2,5,10,1.0,9,0.9,0,2,1,2,0.666666666667,6,2.0,3,2,5,10,1.0,9,0.9,45,Balanced,Little,55,Mixed,Organised,50,Normal,60,Normal,45,Normal,Free Form,50,Medium,45,Press,60,Normal,Cover,,,,,,,,,,,,,,,,,,,,,184.034545455,79.4610712727,182.187272727,76.5333410909,,,66.6,63.0,,,,65.6,65.0,,7 days 00:00:00.000000000,7 days 00:00:00.000000000,18145,17642,17642,2010/2011,11,2033,10211,2.1,3.2,3.6,4-2-3-1,4-1-3-2,D
0,1,1,0,3,1.5,3,1.5,5,3,3,13,1.18181818182,11,1.0,2,0,1,5,1.66666666667,3,1.0,5,3,3,13,1.18181818182,11,1.0,30,Slow,Little,30,Short,Organised,55,Normal,60,Normal,55,Normal,Free Form,30,Deep,30,Contain,30,Narrow,Offside Trap,30,Slow,Little,30,Short,Free Form,60,Normal,60,Normal,60,Normal,Free Form,30,Deep,30,Contain,30,Narrow,Offside Trap,178.954545455,74.6777374545,181.956363636,77.1518756364,76.18181818181819,80.81818181818181,76.6,74.33333333333333,77.33333333333333,77.9090909090909,84.18181818181819,75.4,78.66666666666667,81.33333333333333,13 days 00:00:00.000000000,14 days 00:00:00.000000000,18146,17642,17642,2010/2011,12,9768,9773,3.8,3.25,2.0,4-3-3,4-3-3,D
0,1,1,0,5,2.5,4,2.0,4,5,2,17,1.54545454545,16,1.45454545455,0,3,0,1,0.333333333333,5,1.66666666667,4,5,2,17,1.54545454545,16,1.45454545455,30,Slow,Little,30,Short,Organised,55,Normal,50,Normal,60,Normal,Organised,30,Deep,30,Contain,30,Narrow,Cover,45,Balanced,Little,30,Short,Organised,60,Normal,55,Normal,50,Normal,Organised,30,Deep,30,Contain,30,Narrow,Offside Trap,180.570909091,75.2138007273,180.801818182,76.4096341818,73.0,76.9090909090909,73.6,74.0,71.0,67.9090909090909,74.18181818181819,68.0,67.0,68.66666666666667,16 days 00:00:00.000000000,15 days 00:00:00.000000000,18148,17642,17642,2010/2011,12,10264,10214,1.7,3.4,5.5,4-3-3,4-3-3,H
0,1,0,1,5,2.5,4,2.0,3,4,4,8,0.727272727273,12,1.09090909091,0,3,0,1,0.333333333333,5,1.66666666667,3,4,4,8,0.727272727273,12,1.09090909091,30,Slow,Little,30,Short,Organised,60,Normal,50,Normal,55,Normal,Organised,30,Deep,30,Contain,30,Narrow,Cover,30,Slow,Little,30,Short,Organised,50,Normal,60,Normal,55,Normal,Organised,30,Deep,30,Contain,30,Narrow,Offside Trap,181.494545455,75.6261570909,181.494545455,77.6879389091,,,67.4,,69.5,68.0909090909091,72.36363636363636,68.0,65.66666666666667,70.66666666666667,13 days 00:00:00.000000000,12 days 00:00:00.000000000,18149,17642,17642,2010/2011,12,10238,10215,2.88,3.2,2.5,4-1-3-2,4-3-3,A
0,0,1,1,1,0.5,2,1.0,2,4,5,10,0.909090909091,14,1.27272727273,1,2,0,3,1.0,6,2.0,2,4,5,10,0.909090909091,14,1.27272727273,30,Slow,Little,30,Short,Organised,50,Normal,60,Normal,60,Normal,Organised,30,Deep,30,Contain,30,Narrow,Offside Trap,45,Balanced,Little,55,Mixed,Organised,50,Normal,60,Normal,45,Normal,Free Form,50,Medium,45,Press,60,Normal,Cover,180.570909091,74.84268,182.649090909,78.017824,64.54545454545455,70.27272727272727,65.2,64.0,64.0,64.72727272727273,70.63636363636364,63.6,64.33333333333333,67.0,13 days 00:00:00.000000000,13 days 00:00:00.000000000,18150,17642,17642,2010/2011,12,6403,2033,2.2,3.1,3.4,4-2-3-1,4-3-3,H
0,1,0,1,4,2.0,2,1.0,3,2,6,12,1.09090909091,12,1.09090909091,1,0,2,5,1.66666666667,4,1.33333333333,3,2,6,12,1.09090909091,12,1.09090909091,,,,,,,,,,,,,,,,,,,,,30,Slow,Little,30,Short,Free Form,50,Normal,55,Normal,65,Normal,Free Form,30,Deep,30,Contain,30,Narrow,Offside Trap,182.187272727,76.5333410909,181.494545455,78.1827665455,,,66.2,65.0,,79.0,83.0909090909091,78.6,78.25,81.5,14 days 00:00:00.000000000,14 days 00:00:00.000000000,18151,17642,17642,2010/2011,12,10211,9772,7.0,3.7,1.53,4-1-3-2,4-1-3-2,A
0,3,0,0,12,4.0,1,0.333333333333,10,0,2,28,2.33333333333,5,0.416666666667,1,0,1,2,1.0,1,0.5,10,0,2,28,2.33333333333,5,0.416666666667,30,Slow,Little,30,Short,Free Form,60,Normal,60,Normal,60,Normal,Free Form,30,Deep,30,Contain,30,Narrow,Offside Trap,30,Slow,Little,30,Short,Organised,60,Normal,50,Normal,55,Normal,Organised,30,Deep,30,Contain,30,Narrow,Cover,180.109090909,76.657048,183.803636364,79.2136574545,78.0,83.72727272727273,76.0,77.66666666666667,81.66666666666667,68.18181818181819,73.18181818181819,68.2,67.5,69.5,10 days 00:00:00.000000000,9 days 00:00:00.000000000,18154,17642,17642,2010/2011,13,9773,10238,1.14,7.0,19.0,4-3-3,4-1-3-2,H
0,2,0,0,4,2.0,1,0.5,6,3,3,16,1.33333333333,13,1.08333333333,1,2,0,4,1.33333333333,6,2.0,6,3,3,16,1.33333333333,13,1.08333333333,30,Slow,Little,30,Short,Organised,55,Normal,55,Normal,55,Normal,Organised,30,Deep,30,Contain,30,Narrow,Offside Trap,30,Slow,Little,30,Short,Organised,50,Normal,60,Normal,60,Normal,Organised,30,Deep,30,Contain,30,Narrow,Offside Trap,180.34,76.2859272727,181.725454545,75.296272,69.63636363636364,74.0,71.0,68.66666666666667,68.33333333333333,64.63636363636364,69.81818181818181,65.4,64.0,64.0,7 days 00:00:00.000000000,7 days 00:00:00.000000000,18156,17642,17642,2010/2011,13,7844,6403,1.73,3.5,5.0,4-3-3,4-2-3-1,D
0,2,0,0,5,2.5,1,0.5,3,5,4,12,1.0,14,1.16666666667,1,1,1,4,1.33333333333,4,1.33333333333,3,5,4,12,1.0,14,1.16666666667,30,Slow,Little,30,Short,Organised,45,Normal,55,Normal,60,Normal,Organised,30,Deep,30,Contain,30,Narrow,Offside Trap,,,,,,,,,,,,,,,,,,,,,182.187272727,78.3477090909,183.110909091,77.4405250909,,,,66.66666666666667,72.33333333333333,66.36363636363636,72.18181818181819,67.2,64.0,69.0,7 days 00:00:00.000000000,7 days 00:00:00.000000000,18157,17642,17642,2010/2011,13,7841,10211,2.1,3.1,3.75,4-3-3,4-1-3-2,D
0,0,2,1,3,1.0,5,1.66666666667,2,8,2,11,0.916666666667,21,1.75,0,2,0,0,0.0,4,2.0,2,8,2,11,0.916666666667,21,1.75,,,,,,,,,,,,,,,,,,,,,30,Slow,Little,30,Short,Organised,55,Normal,60,Normal,55,Normal,Free Form,30,Deep,30,Contain,30,Narrow,Offside Trap,179.647272727,74.3478523636,179.416363636,75.5849214545,64.9090909090909,71.27272727272727,66.0,65.0,63.5,76.18181818181819,81.0,76.6,75.25,77.0,8 days 00:00:00.000000000,6 days 00:00:00.000000000,18161,17642,17642,2010/2011,13,9765,9768,6.5,3.6,1.57,4-2-3-1,4-1-3-2,A
0,1,1,0,4,2.0,3,1.5,5,6,2,20,1.53846153846,19,1.46153846154,0,3,0,2,0.666666666667,7,2.33333333333,5,6,2,20,1.53846153846,19,1.46153846154,30,Slow,Little,30,Short,Organised,55,Normal,50,Normal,60,Normal,Organised,30,Deep,30,Contain,30,Narrow,Cover,30,Slow,Little,30,Short,Organised,50,Normal,60,Normal,55,Normal,Organised,30,Deep,30,Contain,30,Narrow,Offside Trap,181.032727273,76.4508698182,180.109090909,76.657048,73.0,76.45454545454545,72.2,74.0,73.33333333333333,67.72727272727273,70.81818181818181,67.0,65.66666666666667,71.0,9 days 00:00:00.000000000,13 days 00:00:00.000000000,18164,17642,17642,2010/2011,14,10264,10215,1.65,3.6,5.5,4-3-3,4-3-3,H
0,0,1,1,3,1.5,4,2.0,3,6,4,8,0.615384615385,14,1.07692307692,0,3,0,0,0.0,3,1.0,3,6,4,8,0.615384615385,14,1.07692307692,30,Slow,Little,30,Short,Organised,60,Normal,50,Normal,55,Normal,Organised,30,Deep,30,Contain,30,Narrow,Cover,30,Slow,Little,30,Short,Organised,55,Normal,60,Normal,55,Normal,Free Form,30,Deep,30,Contain,30,Narrow,Offside Trap,182.418181818,77.6054676364,178.030909091,73.1932545455,,,67.4,,66.0,76.0909090909091,80.81818181818181,76.0,73.5,77.5,15 days 00:00:00.000000000,14 days 00:00:00.000000000,18165,17642,17642,2010/2011,14,10238,9768,5.25,3.6,1.67,4-3-3,4-2-3-1,A
