,home_V,home_D,home_E,home_GF,home_AVG_GF,home_GS,home_AVG_GS,home_VG,home_DG,home_EG,home_GFG,home_AVG_GFG,home_GSG,home_AVG_GSG,away_V,away_D,away_E,away_GF,away_AVG_GF,away_GS,away_AVG_GS,away_VG,away_DG,away_EG,away_GFG,away_AVG_GFG,away_GSG,away_AVG_GSG,h_buildUpPlaySpeed,h_buildUpPlaySpeedClass,h_buildUpPlayDribblingClass,h_buildUpPlayPassing,h_buildUpPlayPassingClass,h_buildUpPlayPositioningClass,h_chanceCreationPassing,h_chanceCreationPassingClass,h_chanceCreationCrossing,h_chanceCreationCrossingClass,h_chanceCreationShooting,h_chanceCreationShootingClass,h_chanceCreationPositioningClass,h_defencePressure,h_defencePressureClass,h_defenceAggression,h_defenceAggressionClass,h_defenceTeamWidth,h_defenceTeamWidthClass,h_defenceDefenderLineClass,a_buildUpPlaySpeed,a_buildUpPlaySpeedClass,a_buildUpPlayDribblingClass,a_buildUpPlayPassing,a_buildUpPlayPassingClass,a_buildUpPlayPositioningClass,a_chanceCreationPassing,a_chanceCreationPassingClass,a_chanceCreationCrossing,a_chanceCreationCrossingClass,a_chanceCreationShooting,a_chanceCreationShootingClass,a_chanceCreationPositioningClass,a_defencePressure,a_defencePressureClass,a_defenceAggression,a_defenceAggressionClass,a_defenceTeamWidth,a_defenceTeamWidthClass,a_defenceDefenderLineClass,h_avg_height,h_avg_weight,a_avg_height,a_avg_weight,h_overall,h_potential,h_def,h_mid,h_att,a_overall,a_potential,a_def,a_mid,a_att,h_date,a_date,id,country_id,league_id,season,stage,home_team_api_id,away_team_api_id,B365H,B365D,B365A,formation_h,formation_a,Output
0,1,0,1,2,1.0,1,0.5,15,12,4,44,1.41935483871,37,1.1935483871,0,1,2,1,0.333333333333,3,1.0,15,12,4,44,1.41935483871,37,1.1935483871,45,Balanced,Little,40,Mixed,Organised,45,Normal,70,Lots,70,Lots,Organised,50,Medium,70,Double,50,Normal,Cover,60,Balanced,Little,35,Mixed,Organised,35,Normal,70,Lots,60,Normal,Organised,65,Medium,30,Contain,45,Normal,Cover,184.496363636,80.739376,182.418181818,78.3889447273,72.18181818181819,76.63636363636364,70.8,72.5,73.75,72.0909090909091,77.0,69.2,73.5,75.0,6 days 00:00:00.000000000,7 days 00:00:00.000000000,8650,7809,7809,2010/2011,32,9905,9810,2.0,3.4,3.75,4-2-3-1,4-2-3-1,H
0,1,0,1,1,0.5,0,0.0,10,11,10,46,1.48387096774,44,1.41935483871,0,3,0,3,1.0,7,2.33333333333,10,11,10,46,1.48387096774,44,1.41935483871,70,Fast,Little,30,Short,Organised,70,Risky,55,Normal,55,Normal,Organised,65,Medium,70,Double,65,Normal,Offside Trap,70,Fast,Little,30,Short,Organised,60,Normal,70,Lots,70,Lots,Organised,65,Medium,50,Press,60,Normal,Cover,184.958181818,80.3270196364,180.801818182,76.3683985455,74.0,81.36363636363636,75.0,72.0,74.33333333333333,74.0,79.0909090909091,73.4,75.5,74.0,7 days 00:00:00.000000000,7 days 00:00:00.000000000,8651,7809,7809,2010/2011,32,8226,10269,2.8,3.4,2.38,4-3-2-1,4-2-3-1,A
0,1,1,0,2,1.0,3,1.5,10,16,5,41,1.32258064516,61,1.96774193548,0,3,0,4,1.33333333333,15,5.0,10,16,5,41,1.32258064516,61,1.96774193548,55,Balanced,Little,65,Mixed,Organised,65,Normal,40,Normal,60,Normal,Organised,45,Medium,55,Press,70,Wide,Cover,70,Fast,Little,30,Short,Organised,70,Risky,70,Lots,70,Lots,Organised,70,High,60,Press,70,Wide,Cover,184.958181818,80.739376,185.189090909,80.2033127273,74.18181818181819,79.54545454545455,74.2,73.0,74.75,78.63636363636364,83.45454545454545,79.0,78.0,78.5,6 days 00:00:00.000000000,7 days 00:00:00.000000000,8652,7809,7809,2010/2011,32,8722,8178,3.8,3.6,1.91,4-2-3-1,4-2-3-1,H
0,2,0,0,4,2.0,0,0.0,18,10,3,45,1.45161290323,41,1.32258064516,1,1,1,4,1.33333333333,5,1.66666666667,18,10,3,45,1.45161290323,41,1.32258064516,55,Balanced,Little,70,Long,Organised,65,Normal,45,Normal,65,Normal,Organised,70,High,70,Double,70,Wide,Cover,65,Balanced,Little,45,Mixed,Organised,50,Normal,70,Lots,65,Normal,Organised,55,Medium,40,Press,65,Normal,Cover,181.263636364,77.7704101818,185.881818182,81.2342036364,73.72727272727273,78.0909090909091,73.6,72.75,76.0,71.0909090909091,77.36363636363636,69.2,72.0,74.0,9 days 00:00:00.000000000,7 days 00:00:00.000000000,8653,7809,7809,2010/2011,32,9904,9788,1.8,3.6,4.33,4-4-2,4-4-2,A
0,0,2,0,0,0.0,3,1.5,10,14,7,41,1.32258064516,48,1.54838709677,3,0,0,6,2.0,2,0.666666666667,10,14,7,41,1.32258064516,48,1.54838709677,45,Balanced,Little,55,Mixed,Organised,45,Normal,70,Lots,70,Lots,Organised,70,High,70,Double,70,Wide,Cover,60,Balanced,Little,60,Mixed,Organised,50,Normal,70,Lots,70,Lots,Organised,60,Medium,70,Double,55,Normal,Cover,183.572727273,79.5435425455,183.803636364,80.0383701818,70.0,75.9090909090909,68.2,70.25,74.0,67.54545454545455,73.27272727272727,65.8,67.5,69.75,6 days 00:00:00.000000000,6 days 00:00:00.000000000,8654,7809,7809,2010/2011,32,8350,8152,1.8,3.6,4.33,4-4-2,4-2-3-1,H
0,1,1,0,1,0.5,1,0.5,11,14,7,36,1.125,39,1.21875,1,1,1,4,1.33333333333,5,1.66666666667,11,14,7,36,1.125,39,1.21875,65,Balanced,Little,55,Mixed,Organised,55,Normal,70,Lots,70,Lots,Organised,70,High,45,Press,70,Wide,Cover,45,Balanced,Little,40,Mixed,Organised,45,Normal,70,Lots,70,Lots,Organised,50,Medium,70,Double,50,Normal,Cover,183.803636364,80.9867898182,184.034545455,80.4919621818,75.9090909090909,82.45454545454545,76.4,71.0,77.75,73.0,76.54545454545455,72.6,73.33333333333333,73.33333333333333,7 days 00:00:00.000000000,7 days 00:00:00.000000000,8655,7809,7809,2010/2011,33,10189,9905,2.38,3.25,3.0,4-2-3-1,4-1-3-2,A
0,0,1,2,2,0.666666666667,3,1.0,9,12,11,43,1.34375,58,1.8125,1,0,1,4,2.0,2,1.0,9,12,11,43,1.34375,58,1.8125,70,Fast,Little,40,Mixed,Organised,70,Risky,40,Normal,70,Lots,Organised,70,High,65,Press,70,Wide,Cover,70,Fast,Little,45,Mixed,Organised,70,Risky,34,Normal,66,Normal,Free Form,54,Medium,70,Double,53,Normal,Offside Trap,184.265454545,82.3888014545,184.496363636,80.3682552727,76.63636363636364,83.36363636363636,76.2,76.66666666666667,77.33333333333333,77.36363636363636,82.72727272727273,77.8,75.5,77.75,8 days 00:00:00.000000000,7 days 00:00:00.000000000,8656,7809,7809,2010/2011,33,8697,9789,2.0,3.6,3.5,4-1-3-2,4-2-3-1,H
0,2,0,0,4,2.0,2,1.0,19,6,7,62,1.9375,43,1.34375,1,2,0,2,0.666666666667,7,2.33333333333,19,6,7,62,1.9375,43,1.34375,70,Fast,Little,30,Short,Organised,70,Risky,70,Lots,70,Lots,Organised,70,High,60,Press,70,Wide,Cover,70,Fast,Little,60,Mixed,Organised,70,Risky,60,Normal,70,Lots,Organised,70,High,45,Press,60,Normal,Cover,185.881818182,80.285784,183.110909091,80.285784,78.81818181818181,83.27272727272727,77.6,81.0,79.25,75.18181818181819,82.0909090909091,76.8,74.25,73.0,7 days 00:00:00.000000000,7 days 00:00:00.000000000,8657,7809,7809,2010/2011,33,8178,9790,1.44,4.33,7.0,4-2-3-1,4-4-2,D
0,1,1,0,5,2.5,4,2.0,11,15,6,57,1.78125,56,1.75,2,0,1,6,2.0,3,1.0,11,15,6,57,1.78125,56,1.75,70,Fast,Little,30,Short,Organised,60,Normal,70,Lots,70,Lots,Organised,65,Medium,50,Press,60,Normal,Cover,55,Balanced,Little,70,Long,Organised,65,Normal,45,Normal,65,Normal,Organised,70,High,70,Double,70,Wide,Cover,180.801818182,76.3683985455,181.263636364,78.3064734545,74.0,79.0909090909091,73.4,75.5,74.0,73.45454545454545,77.45454545454545,73.6,72.0,76.0,7 days 00:00:00.000000000,7 days 00:00:00.000000000,8658,7809,7809,2010/2011,33,10269,9904,2.1,3.4,3.4,4-2-3-1,4-4-2,H
0,1,0,2,7,2.33333333333,4,1.33333333333,8,13,11,39,1.21875,45,1.40625,1,1,0,1,0.5,1,0.5,8,13,11,39,1.21875,45,1.40625,65,Balanced,Little,45,Mixed,Organised,65,Normal,60,Normal,70,Lots,Organised,45,Medium,60,Press,50,Normal,Cover,45,Balanced,Little,55,Mixed,Organised,45,Normal,70,Lots,70,Lots,Organised,70,High,70,Double,70,Wide,Cover,181.956363636,77.9765883636,185.189090909,80.6981403636,77.45454545454545,82.72727272727273,77.8,75.66666666666667,78.66666666666667,70.18181818181819,75.54545454545455,69.2,70.5,71.25,8 days 00:00:00.000000000,8 days 00:00:00.000000000,8659,7809,7809,2010/2011,33,8721,8350,1.44,4.33,7.0,4-1-3-2,4-2-3-1,A
