,home_V,home_D,home_E,home_GF,home_AVG_GF,home_GS,home_AVG_GS,home_VG,home_DG,home_EG,home_GFG,home_AVG_GFG,home_GSG,home_AVG_GSG,away_V,away_D,away_E,away_GF,away_AVG_GF,away_GS,away_AVG_GS,away_VG,away_DG,away_EG,away_GFG,away_AVG_GFG,away_GSG,away_AVG_GSG,h_buildUpPlaySpeed,h_buildUpPlaySpeedClass,h_buildUpPlayDribblingClass,h_buildUpPlayPassing,h_buildUpPlayPassingClass,h_buildUpPlayPositioningClass,h_chanceCreationPassing,h_chanceCreationPassingClass,h_chanceCreationCrossing,h_chanceCreationCrossingClass,h_chanceCreationShooting,h_chanceCreationShootingClass,h_chanceCreationPositioningClass,h_defencePressure,h_defencePressureClass,h_defenceAggression,h_defenceAggressionClass,h_defenceTeamWidth,h_defenceTeamWidthClass,h_defenceDefenderLineClass,a_buildUpPlaySpeed,a_buildUpPlaySpeedClass,a_buildUpPlayDribblingClass,a_buildUpPlayPassing,a_buildUpPlayPassingClass,a_buildUpPlayPositioningClass,a_chanceCreationPassing,a_chanceCreationPassingClass,a_chanceCreationCrossing,a_chanceCreationCrossingClass,a_chanceCreationShooting,a_chanceCreationShootingClass,a_chanceCreationPositioningClass,a_defencePressure,a_defencePressureClass,a_defenceAggression,a_defenceAggressionClass,a_defenceTeamWidth,a_defenceTeamWidthClass,a_defenceDefenderLineClass,h_avg_height,h_avg_weight,a_avg_height,a_avg_weight,h_overall,h_potential,h_def,h_mid,h_att,a_overall,a_potential,a_def,a_mid,a_att,a_date,h_date,id,country_id,league_id,season,stage,home_team_api_id,away_team_api_id,B365H,B365D,B365A,formation_h,formation_a,Output
0,1,1,0,3,1.5,2,1.0,4,2,3,15,1.66666666667,11,1.22222222222,2,0,1,6,2.0,2,0.6666666666666666,4,2,3,15,1.66666666667,11,1.22222222222,70,Fast,Little,30,Short,Free Form,30,Safe,35,Normal,70,Lots,Free Form,50,Medium,70,Double,45,Normal,Cover,30,Slow,Little,30,Short,Free Form,40,Normal,60,Normal,70,Lots,Free Form,45,Medium,30,Contain,70,Wide,Offside Trap,180.801818182,75.9560421818,181.263636364,75.9972778182,75.54545454545455,79.81818181818181,75.75,72.5,79.33333333333333,,,74.2,72.75,,"7 days, 0:00:00","7 days, 0:00:00",11027,10257,10257,2010/2011,10,9875,10167,1.62,3.75,5.5,3-6-1,4-4-2,H
0,1,1,1,6,2.0,4,1.33333333333,3,4,2,15,1.66666666667,13,1.44444444444,1,1,0,3,1.5,3,1.5,3,4,2,15,1.66666666667,13,1.44444444444,63,Balanced,Little,50,Mixed,Organised,30,Safe,30,Little,70,Lots,Organised,45,Medium,40,Press,60,Normal,Cover,70,Fast,Little,50,Mixed,Organised,70,Risky,40,Normal,65,Normal,Organised,40,Medium,65,Press,30,Narrow,Cover,184.034545455,77.2343469091,183.572727273,76.6982836364,75.0,82.36363636363636,76.8,71.66666666666667,75.33333333333333,76.0,82.45454545454545,76.75,75.75,75.33333333333333,"9 days, 0:00:00","7 days, 0:00:00",11028,10257,10257,2010/2011,10,8540,10233,2.0,3.2,4.0,4-3-2-1,3-4-3,H
0,1,0,1,2,1.0,1,0.5,3,1,5,11,1.22222222222,8,0.888888888889,1,0,2,3,1.0,2,0.6666666666666666,3,1,5,11,1.22222222222,8,0.888888888889,60,Balanced,Little,30,Short,Organised,30,Safe,30,Little,65,Normal,Free Form,50,Medium,30,Contain,55,Normal,Offside Trap,35,Balanced,Little,30,Short,Organised,30,Safe,30,Little,60,Normal,Organised,35,Medium,55,Press,50,Normal,Cover,180.801818182,75.749864,181.032727273,78.3889447273,76.0,80.18181818181819,75.4,76.25,77.0,72.54545454545455,77.63636363636364,71.8,72.2,78.0,"7 days, 0:00:00","7 days, 0:00:00",11029,10257,10257,2010/2011,10,9882,8530,1.83,3.4,4.5,4-4-2,4-1-4-1,D
0,2,0,0,3,1.5,1,0.5,4,4,1,8,0.888888888889,10,1.11111111111,2,0,1,3,1.0,0,0.0,4,4,1,8,0.888888888889,10,1.11111111111,64,Balanced,Little,35,Mixed,Organised,30,Safe,50,Normal,70,Lots,Organised,35,Medium,30,Contain,55,Normal,Offside Trap,40,Balanced,Little,30,Short,Organised,30,Safe,35,Normal,55,Normal,Organised,40,Medium,55,Press,60,Normal,Cover,181.494545455,78.471416,181.032727273,74.8839156364,75.18181818181819,79.81818181818181,72.25,74.75,79.66666666666667,72.36363636363636,79.63636363636364,71.0,71.0,76.0,"7 days, 0:00:00","7 days, 0:00:00",11030,10257,10257,2010/2011,10,8600,8529,1.85,3.3,4.5,3-5-2,4-3-1-2,D
0,2,0,0,3,1.5,1,0.5,7,1,1,13,1.44444444444,6,0.666666666667,3,0,0,4,1.3333333333333333,0,0.0,7,1,1,13,1.44444444444,6,0.666666666667,60,Balanced,Little,50,Mixed,Organised,50,Normal,40,Normal,70,Lots,Organised,55,Medium,50,Press,70,Wide,Cover,70,Fast,Little,30,Short,Free Form,60,Normal,60,Normal,70,Lots,Free Form,55,Medium,30,Contain,70,Wide,Offside Trap,181.956363636,78.7600654545,183.803636364,77.9765883636,75.9090909090909,83.27272727272727,75.0,75.0,78.33333333333333,79.45454545454545,82.9090909090909,78.8,79.25,81.5,"8 days, 0:00:00","7 days, 0:00:00",11031,10257,10257,2010/2011,10,8543,8686,2.5,3.1,2.9,4-3-1-2,4-4-2,A
0,2,0,0,8,4.0,2,1.0,4,2,3,18,2.0,10,1.11111111111,1,0,2,2,0.6666666666666666,1,0.3333333333333333,4,2,3,18,2.0,10,1.11111111111,45,Balanced,Little,35,Mixed,Free Form,45,Normal,55,Normal,70,Lots,Free Form,50,Medium,35,Press,70,Wide,Offside Trap,30,Slow,Little,30,Short,Organised,35,Normal,45,Normal,65,Normal,Organised,50,Medium,30,Contain,50,Normal,Cover,184.958181818,79.2548930909,181.263636364,75.0900938182,,,,79.0,80.0,69.54545454545455,77.18181818181819,67.6,70.33333333333333,72.0,"7 days, 0:00:00","8 days, 0:00:00",11032,10257,10257,2010/2011,10,9885,9880,1.36,4.5,9.0,4-4-2,4-3-3,H
0,0,0,2,1,0.5,1,0.5,5,1,3,11,1.22222222222,4,0.444444444444,2,1,0,2,0.6666666666666666,1,0.3333333333333333,5,1,3,11,1.22222222222,4,0.444444444444,55,Balanced,Little,55,Mixed,Free Form,50,Normal,55,Normal,70,Lots,Organised,50,Medium,60,Press,55,Normal,Cover,30,Slow,Little,30,Short,Organised,35,Normal,50,Normal,70,Lots,Free Form,45,Medium,30,Contain,55,Normal,Offside Trap,181.032727273,77.9353527273,180.570909091,75.0900938182,82.36363636363636,86.0909090909091,82.6,80.75,85.0,69.18181818181819,77.27272727272727,68.2,68.33333333333333,71.66666666666667,"6 days, 0:00:00","8 days, 0:00:00",11033,10257,10257,2010/2011,10,8636,9858,1.25,5.0,15.0,4-4-2,4-3-2-1,D
0,2,1,0,5,1.66666666667,3,1.0,2,4,3,9,1.0,10,1.11111111111,0,1,1,1,0.5,2,1.0,2,4,3,9,1.0,10,1.11111111111,67,Fast,Little,30,Short,Free Form,50,Normal,60,Normal,60,Normal,Free Form,45,Medium,30,Contain,60,Normal,Offside Trap,45,Balanced,Little,30,Short,Organised,35,Normal,45,Normal,65,Normal,Organised,30,Deep,70,Double,65,Normal,Offside Trap,183.110909091,78.2652378182,184.034545455,78.6775941818,,,76.2,74.5,,71.27272727272727,78.0,72.4,71.66666666666667,69.0,"7 days, 0:00:00","7 days, 0:00:00",11034,10257,10257,2010/2011,10,8535,8533,1.73,3.5,5.0,4-2-3-1,4-3-1-2,H
0,0,0,2,1,0.5,1,0.5,1,3,5,8,0.888888888889,14,1.55555555556,0,2,1,2,0.6666666666666666,7,2.3333333333333335,1,3,5,8,0.888888888889,14,1.55555555556,65,Balanced,Little,55,Mixed,Organised,30,Safe,70,Lots,65,Normal,Organised,55,Medium,30,Contain,50,Normal,Offside Trap,40,Balanced,Little,30,Short,Organised,45,Normal,60,Normal,70,Lots,Organised,30,Deep,70,Double,65,Normal,Cover,184.496363636,79.0074792727,183.341818182,79.3373643636,70.81818181818181,78.36363636363636,71.2,68.0,73.0,68.81818181818181,74.45454545454545,67.0,71.66666666666667,69.0,"7 days, 0:00:00","6 days, 0:00:00",11035,10257,10257,2010/2011,10,9857,9888,1.91,3.25,4.33,4-3-3,4-3-1-2,H
0,1,2,0,2,0.666666666667,5,1.66666666667,2,5,2,7,0.777777777778,15,1.66666666667,0,2,0,2,1.0,4,2.0,2,5,2,7,0.777777777778,15,1.66666666667,30,Slow,Little,30,Short,Free Form,30,Safe,40,Normal,65,Normal,Organised,40,Medium,30,Contain,45,Normal,Offside Trap,45,Balanced,Little,30,Short,Free Form,55,Normal,45,Normal,70,Lots,Free Form,30,Deep,35,Press,60,Normal,Offside Trap,180.570909091,76.2446916364,182.649090909,77.6467032727,73.0,78.45454545454545,71.4,74.25,74.5,79.36363636363636,86.54545454545455,78.4,78.33333333333333,82.0,"8 days, 0:00:00","7 days, 0:00:00",11036,10257,10257,2010/2011,10,9976,8564,4.33,3.25,1.91,4-4-2,4-3-1-2,A
0,1,1,0,4,2.0,3,1.5,6,2,2,17,1.7,10,1.0,3,0,0,6,2.0,3,1.0,6,2,2,17,1.7,10,1.0,45,Balanced,Little,30,Short,Free Form,55,Normal,45,Normal,70,Lots,Free Form,30,Deep,35,Press,60,Normal,Offside Trap,63,Balanced,Little,50,Mixed,Organised,30,Safe,30,Little,70,Lots,Organised,45,Medium,40,Press,60,Normal,Cover,183.572727273,80.6569047273,184.034545455,77.2343469091,79.72727272727273,86.45454545454545,78.4,79.0,82.66666666666667,75.0,82.36363636363636,76.8,71.66666666666667,75.33333333333333,"3 days, 0:00:00","3 days, 0:00:00",11037,10257,10257,2010/2011,11,8564,8540,1.57,3.6,6.5,4-3-1-2,4-3-2-1,H
0,2,0,0,3,1.5,1,0.5,3,5,2,7,0.7,17,1.7,0,3,0,0,0.0,8,2.6666666666666665,3,5,2,7,0.7,17,1.7,40,Balanced,Little,30,Short,Organised,45,Normal,60,Normal,70,Lots,Organised,30,Deep,70,Double,65,Normal,Cover,55,Balanced,Little,55,Mixed,Free Form,50,Normal,55,Normal,70,Lots,Organised,50,Medium,60,Press,55,Normal,Cover,182.187272727,77.9353527273,180.34,77.1931112727,68.81818181818181,75.18181818181819,66.4,71.33333333333333,70.33333333333333,78.63636363636364,84.9090909090909,79.6,75.5,82.5,"4 days, 0:00:00","4 days, 0:00:00",11038,10257,10257,2010/2011,11,9888,8636,5.5,3.3,1.73,4-3-3,4-4-2,D
0,0,1,2,0,0.0,1,0.333333333333,1,4,5,6,0.6,10,1.0,0,1,1,1,0.5,3,1.5,1,4,5,6,0.6,10,1.0,30,Slow,Little,30,Short,Free Form,40,Normal,60,Normal,70,Lots,Free Form,45,Medium,30,Contain,70,Wide,Offside Trap,60,Balanced,Little,30,Short,Organised,30,Safe,30,Little,65,Normal,Free Form,50,Medium,30,Contain,55,Normal,Offside Trap,182.187272727,76.7395192727,181.263636364,75.9560421818,,,74.2,73.0,,76.0,80.72727272727273,75.2,76.5,77.0,"4 days, 0:00:00","4 days, 0:00:00",11039,10257,10257,2010/2011,11,10167,9882,2.38,3.1,3.1,4-3-3,4-4-2,H
