,home_V,home_D,home_E,home_GF,home_AVG_GF,home_GS,home_AVG_GS,home_VG,home_DG,home_EG,home_GFG,home_AVG_GFG,home_GSG,home_AVG_GSG,away_V,away_D,away_E,away_GF,away_AVG_GF,away_GS,away_AVG_GS,away_VG,away_DG,away_EG,away_GFG,away_AVG_GFG,away_GSG,away_AVG_GSG,h_buildUpPlaySpeed,h_buildUpPlaySpeedClass,h_buildUpPlayDribblingClass,h_buildUpPlayPassing,h_buildUpPlayPassingClass,h_buildUpPlayPositioningClass,h_chanceCreationPassing,h_chanceCreationPassingClass,h_chanceCreationCrossing,h_chanceCreationCrossingClass,h_chanceCreationShooting,h_chanceCreationShootingClass,h_chanceCreationPositioningClass,h_defencePressure,h_defencePressureClass,h_defenceAggression,h_defenceAggressionClass,h_defenceTeamWidth,h_defenceTeamWidthClass,h_defenceDefenderLineClass,a_buildUpPlaySpeed,a_buildUpPlaySpeedClass,a_buildUpPlayDribblingClass,a_buildUpPlayPassing,a_buildUpPlayPassingClass,a_buildUpPlayPositioningClass,a_chanceCreationPassing,a_chanceCreationPassingClass,a_chanceCreationCrossing,a_chanceCreationCrossingClass,a_chanceCreationShooting,a_chanceCreationShootingClass,a_chanceCreationPositioningClass,a_defencePressure,a_defencePressureClass,a_defenceAggression,a_defenceAggressionClass,a_defenceTeamWidth,a_defenceTeamWidthClass,a_defenceDefenderLineClass,h_avg_height,h_avg_weight,a_avg_height,a_avg_weight,h_overall,h_potential,h_def,h_mid,h_att,a_overall,a_potential,a_def,a_mid,a_att,a_date,h_date,id,country_id,league_id,season,stage,home_team_api_id,away_team_api_id,B365H,B365D,B365A,formation_h,formation_a,Output
0,0,1,1,2,1.0,4,2.0,0,5,4,7,0.777777777778,15,1.66666666667,0,2,1,2,0.666666666667,4,1.33333333333,0,5,4,7,0.777777777778,15,1.66666666667,30,Slow,Little,30,Short,Free Form,50,Normal,35,Normal,70,Lots,Organised,40,Medium,30,Contain,45,Normal,Offside Trap,40,Balanced,Little,40,Mixed,Organised,50,Normal,40,Normal,50,Normal,Free Form,45,Medium,40,Press,45,Normal,Offside Trap,183.803636364,77.7291745455,180.801818182,77.6054676364,72.54545454545455,77.18181818181819,72.0,74.25,69.0,72.81818181818181,76.81818181818181,75.4,70.5,70.75,6 days 00:00:00.000000000,8 days 00:00:00.000000000,22288,21518,21518,2010/2011,10,8394,8661,2.4,3.2,3.0,5-4-1,4-2-3-1,H
0,2,0,0,7,3.5,4,2.0,4,3,2,14,1.55555555556,16,1.77777777778,0,3,0,0,0.0,9,3.0,4,3,2,14,1.55555555556,16,1.77777777778,30,Slow,Little,30,Short,Free Form,70,Risky,60,Normal,70,Lots,Free Form,60,Medium,70,Double,65,Normal,Offside Trap,30,Slow,Little,30,Short,Free Form,55,Normal,60,Normal,70,Lots,Organised,55,Medium,60,Press,60,Normal,Offside Trap,181.032727273,75.5849214545,181.494545455,76.9869330909,77.9090909090909,83.18181818181819,76.0,77.5,83.5,78.9090909090909,83.9090909090909,77.8,79.5,80.5,9 days 00:00:00.000000000,9 days 00:00:00.000000000,22289,21518,21518,2010/2011,10,8302,10267,2.2,3.4,3.2,4-4-2,4-4-2,H
0,2,0,0,6,3.0,0,0.0,4,4,1,14,1.55555555556,13,1.44444444444,1,2,0,1,0.333333333333,5,1.66666666667,4,4,1,14,1.55555555556,13,1.44444444444,30,Slow,Little,35,Mixed,Organised,35,Normal,50,Normal,70,Lots,Free Form,40,Medium,30,Contain,50,Normal,Offside Trap,42,Balanced,Little,30,Short,Free Form,65,Normal,40,Normal,70,Lots,Free Form,70,High,30,Contain,70,Wide,Offside Trap,181.494545455,75.5024501818,175.490909091,72.4510130909,74.63636363636364,79.27272727272727,76.0,73.5,73.5,85.27272727272727,89.0,84.0,86.0,86.66666666666667,8 days 00:00:00.000000000,7 days 00:00:00.000000000,22290,21518,21518,2010/2011,10,8305,8634,8.5,5.0,1.33,4-2-3-1,4-3-3,A
0,2,0,0,4,2.0,0,0.0,6,1,2,17,1.88888888889,7,0.777777777778,1,0,2,6,2.0,5,1.66666666667,6,1,2,17,1.88888888889,7,0.777777777778,64,Balanced,Little,30,Short,Free Form,55,Normal,35,Normal,70,Lots,Free Form,65,Medium,30,Contain,70,Wide,Offside Trap,60,Balanced,Little,45,Mixed,Organised,35,Normal,70,Lots,55,Normal,Organised,30,Deep,70,Double,35,Normal,Cover,180.34,74.7602087273,183.572727273,77.1518756364,79.36363636363636,83.27272727272727,78.6,79.5,81.0,75.9090909090909,79.9090909090909,75.2,76.5,76.5,7 days 00:00:00.000000000,7 days 00:00:00.000000000,22291,21518,21518,2010/2011,10,10205,8315,1.8,3.6,4.33,4-4-2,4-2-3-1,H
0,0,0,2,2,1.0,2,1.0,1,3,5,7,0.777777777778,8,0.888888888889,1,1,1,3,1.0,2,0.666666666667,1,3,5,7,0.777777777778,8,0.888888888889,65,Balanced,Little,45,Mixed,Organised,45,Normal,45,Normal,70,Lots,Organised,70,High,65,Press,30,Narrow,Cover,70,Fast,Little,55,Mixed,Organised,65,Normal,50,Normal,70,Lots,Organised,70,High,70,Double,55,Normal,Cover,176.645454545,73.8530247273,180.109090909,74.8014443636,75.36363636363636,79.36363636363636,74.6,75.33333333333333,76.66666666666667,73.63636363636364,77.0,73.2,72.5,74.75,7 days 00:00:00.000000000,7 days 00:00:00.000000000,22292,21518,21518,2010/2011,10,9865,9869,2.1,3.3,3.5,4-3-3,4-2-3-1,D
0,2,0,0,12,6.0,2,1.0,7,0,2,25,2.77777777778,5,0.555555555556,2,0,1,7,2.33333333333,2,0.666666666667,7,0,2,25,2.77777777778,5,0.555555555556,55,Balanced,Little,30,Short,Free Form,70,Risky,60,Normal,70,Lots,Free Form,65,Medium,40,Press,65,Normal,Offside Trap,64,Balanced,Little,30,Short,Free Form,65,Normal,50,Normal,70,Lots,Free Form,70,High,34,Press,55,Normal,Offside Trap,183.341818182,79.6672494545,181.956363636,75.7910996364,84.0909090909091,88.36363636363636,84.2,82.5,84.75,79.81818181818181,85.0,77.8,79.5,85.5,7 days 00:00:00.000000000,8 days 00:00:00.000000000,22293,21518,21518,2010/2011,10,8633,9906,1.29,5.5,9.5,4-2-3-1,4-4-2,H
0,1,0,1,4,2.0,1,0.5,2,4,3,8,0.888888888889,10,1.11111111111,0,2,1,1,0.333333333333,5,1.66666666667,2,4,3,8,0.888888888889,10,1.11111111111,35,Balanced,Little,35,Mixed,Organised,45,Normal,65,Normal,55,Normal,Free Form,30,Deep,65,Press,55,Normal,Cover,40,Balanced,Little,30,Short,Organised,50,Normal,35,Normal,70,Lots,Organised,35,Medium,35,Press,50,Normal,Cover,183.110909091,76.6158123636,180.570909091,76.9044618182,74.72727272727273,78.9090909090909,74.2,75.5,75.0,71.0,74.72727272727273,70.6,69.5,72.25,8 days 00:00:00.000000000,7 days 00:00:00.000000000,22294,21518,21518,2010/2011,10,8371,10278,2.0,3.3,3.8,4-2-3-1,4-2-3-1,H
0,2,0,0,4,2.0,0,0.0,4,4,1,12,1.33333333333,12,1.33333333333,1,2,0,3,1.0,5,1.66666666667,4,4,1,12,1.33333333333,12,1.33333333333,40,Balanced,Little,30,Short,Free Form,50,Normal,40,Normal,70,Lots,Organised,45,Medium,30,Contain,35,Normal,Offside Trap,45,Balanced,Little,55,Mixed,Organised,70,Risky,70,Lots,65,Normal,Free Form,45,Medium,55,Press,50,Normal,Cover,183.803636364,76.4508698182,181.956363636,78.017824,72.63636363636364,76.36363636363636,71.8,72.5,73.75,73.72727272727273,78.54545454545455,74.4,73.0,73.5,6 days 00:00:00.000000000,6 days 00:00:00.000000000,22295,21518,21518,2010/2011,10,8560,8696,2.1,3.25,3.6,4-2-3-1,4-4-2,H
0,2,0,0,3,1.5,1,0.5,5,4,0,8,0.888888888889,13,1.44444444444,1,2,0,1,0.333333333333,4,1.33333333333,5,4,0,8,0.888888888889,13,1.44444444444,55,Balanced,Little,40,Mixed,Organised,70,Risky,55,Normal,70,Lots,Organised,70,High,50,Press,60,Normal,Cover,60,Balanced,Little,55,Mixed,Organised,40,Normal,45,Normal,70,Lots,Organised,45,Medium,65,Press,45,Normal,Cover,180.801818182,75.6673927273,178.492727273,73.8942603636,73.36363636363636,78.81818181818181,72.6,70.0,76.0,71.81818181818181,75.81818181818181,72.6,75.0,69.25,6 days 00:00:00.000000000,6 days 00:00:00.000000000,22296,21518,21518,2010/2011,10,8558,9864,1.91,3.4,4.0,4-2-3-1,4-2-3-1,H
0,1,0,1,2,1.0,1,0.5,2,5,2,9,1.0,16,1.77777777778,0,2,1,3,1.0,5,1.66666666667,2,5,2,9,1.0,16,1.77777777778,30,Slow,Little,30,Short,Organised,45,Normal,40,Normal,70,Lots,Organised,30,Deep,35,Press,50,Normal,Cover,30,Slow,Little,30,Short,Organised,30,Safe,45,Normal,65,Normal,Organised,35,Medium,35,Press,45,Normal,Offside Trap,180.570909091,76.1622203636,181.956363636,79.2136574545,72.0,77.27272727272727,70.8,71.5,73.75,74.0,80.63636363636364,74.16666666666667,73.25,76.0,7 days 00:00:00.000000000,6 days 00:00:00.000000000,22297,21518,21518,2010/2011,10,8581,9783,2.3,3.2,3.2,4-2-3-1,5-4-1,A
0,1,1,1,5,1.66666666667,6,2.0,1,5,4,10,1.0,17,1.7,0,1,1,2,1.0,3,1.5,1,5,4,10,1.0,17,1.7,30,Slow,Little,30,Short,Free Form,50,Normal,35,Normal,70,Lots,Organised,40,Medium,30,Contain,45,Normal,Offside Trap,30,Slow,Little,30,Short,Free Form,70,Risky,60,Normal,70,Lots,Free Form,60,Medium,70,Double,65,Normal,Offside Trap,183.803636364,78.2652378182,180.109090909,74.1416741818,72.36363636363636,78.27272727272727,71.5,73.66666666666667,73.0,78.45454545454545,83.18181818181819,76.0,79.0,83.5,6 days 00:00:00.000000000,7 days 00:00:00.000000000,22298,21518,21518,2010/2011,11,8394,8302,3.0,3.25,2.38,5-3-2,4-4-2,A
0,1,1,1,4,1.33333333333,4,1.33333333333,5,3,2,14,1.4,11,1.1,0,2,0,1,0.5,4,2.0,5,3,2,14,1.4,11,1.1,30,Slow,Little,30,Short,Free Form,55,Normal,60,Normal,70,Lots,Organised,55,Medium,60,Press,60,Normal,Offside Trap,30,Slow,Little,35,Mixed,Organised,35,Normal,50,Normal,70,Lots,Free Form,40,Medium,30,Contain,50,Normal,Offside Trap,181.032727273,77.0694043636,180.801818182,74.389088,78.63636363636364,83.18181818181819,77.4,79.25,80.5,75.27272727272727,80.54545454545455,76.0,74.0,76.0,7 days 00:00:00.000000000,6 days 00:00:00.000000000,22299,21518,21518,2010/2011,11,10267,8305,1.62,3.75,5.5,4-4-2,4-4-2,H
0,2,0,1,8,2.66666666667,2,0.666666666667,8,1,1,22,2.2,7,0.7,2,0,0,5,2.5,1,0.5,8,1,1,22,2.2,7,0.7,42,Balanced,Little,30,Short,Free Form,65,Normal,40,Normal,70,Lots,Free Form,70,High,30,Contain,70,Wide,Offside Trap,64,Balanced,Little,30,Short,Free Form,55,Normal,35,Normal,70,Lots,Free Form,65,Medium,30,Contain,70,Wide,Offside Trap,175.952727273,71.7500072727,180.34,74.7602087273,84.72727272727273,88.36363636363636,83.4,85.0,86.66666666666667,79.36363636363636,83.27272727272727,78.6,79.5,81.0,6 days 00:00:00.000000000,6 days 00:00:00.000000000,22300,21518,21518,2010/2011,11,8634,10205,1.2,6.25,13.0,4-3-3,4-4-2,H
0,2,0,0,5,2.5,1,0.5,4,5,1,18,1.8,18,1.8,0,3,0,5,1.66666666667,10,3.33333333333,4,5,1,18,1.8,18,1.8,60,Balanced,Little,45,Mixed,Organised,35,Normal,70,Lots,55,Normal,Organised,30,Deep,70,Double,35,Normal,Cover,65,Balanced,Little,45,Mixed,Organised,45,Normal,45,Normal,70,Lots,Organised,70,High,65,Press,30,Narrow,Cover,181.032727273,75.1725650909,181.956363636,78.1827665455,75.54545454545455,79.18181818181819,76.2,75.75,73.5,72.72727272727273,78.54545454545455,72.0,74.66666666666667,72.0,6 days 00:00:00.000000000,6 days 00:00:00.000000000,22301,21518,21518,2010/2011,11,8315,9865,1.67,3.75,5.0,4-4-2,4-3-3,H
0,1,0,1,3,1.5,1,0.5,2,4,4,10,1.0,16,1.6,0,1,2,3,1.0,6,2.0,2,4,4,10,1.0,16,1.6,70,Fast,Little,55,Mixed,Organised,65,Normal,50,Normal,70,Lots,Organised,70,High,70,Double,55,Normal,Cover,55,Balanced,Little,30,Short,Free Form,70,Risky,60,Normal,70,Lots,Free Form,65,Medium,40,Press,65,Normal,Offside Trap,179.647272727,75.4199789091,183.341818182,79.6672494545,74.27272727272727,77.27272727272727,74.8,74.5,73.5,84.0909090909091,88.36363636363636,84.2,82.5,84.75,7 days 00:00:00.000000000,7 days 00:00:00.000000000,22302,21518,21518,2010/2011,11,9869,8633,12.0,5.5,1.25,4-2-3-1,4-2-3-1,A
0,1,0,1,3,1.5,1,0.5,4,4,2,13,1.3,12,1.2,0,3,0,1,0.333333333333,7,2.33333333333,4,4,2,13,1.3,12,1.2,64,Balanced,Little,30,Short,Free Form,65,Normal,50,Normal,70,Lots,Free Form,70,High,34,Press,55,Normal,Offside Trap,35,Balanced,Little,35,Mixed,Organised,45,Normal,65,Normal,55,Normal,Free Form,30,Deep,65,Press,55,Normal,Cover,181.263636364,75.1725650909,183.110909091,76.6158123636,79.72727272727273,85.0,77.6,79.5,85.5,74.72727272727273,78.9090909090909,74.2,75.5,75.0,6 days 00:00:00.000000000,6 days 00:00:00.000000000,22303,21518,21518,2010/2011,11,9906,8371,1.62,3.75,5.5,4-4-2,4-2-3-1,H
