,home_V,home_D,home_E,home_GF,home_AVG_GF,home_GS,home_AVG_GS,home_VG,home_DG,home_EG,home_GFG,home_AVG_GFG,home_GSG,home_AVG_GSG,away_V,away_D,away_E,away_GF,away_AVG_GF,away_GS,away_AVG_GS,away_VG,away_DG,away_EG,away_GFG,away_AVG_GFG,away_GSG,away_AVG_GSG,h_buildUpPlaySpeed,h_buildUpPlaySpeedClass,h_buildUpPlayDribblingClass,h_buildUpPlayPassing,h_buildUpPlayPassingClass,h_buildUpPlayPositioningClass,h_chanceCreationPassing,h_chanceCreationPassingClass,h_chanceCreationCrossing,h_chanceCreationCrossingClass,h_chanceCreationShooting,h_chanceCreationShootingClass,h_chanceCreationPositioningClass,h_defencePressure,h_defencePressureClass,h_defenceAggression,h_defenceAggressionClass,h_defenceTeamWidth,h_defenceTeamWidthClass,h_defenceDefenderLineClass,a_buildUpPlaySpeed,a_buildUpPlaySpeedClass,a_buildUpPlayDribblingClass,a_buildUpPlayPassing,a_buildUpPlayPassingClass,a_buildUpPlayPositioningClass,a_chanceCreationPassing,a_chanceCreationPassingClass,a_chanceCreationCrossing,a_chanceCreationCrossingClass,a_chanceCreationShooting,a_chanceCreationShootingClass,a_chanceCreationPositioningClass,a_defencePressure,a_defencePressureClass,a_defenceAggression,a_defenceAggressionClass,a_defenceTeamWidth,a_defenceTeamWidthClass,a_defenceDefenderLineClass,h_avg_height,h_avg_weight,a_avg_height,a_avg_weight,h_overall,h_potential,h_def,h_mid,h_att,a_overall,a_potential,a_def,a_mid,a_att,h_date,a_date,id,country_id,league_id,season,stage,home_team_api_id,away_team_api_id,B365H,B365D,B365A,formation_h,formation_a,Output
0,0,1,1,2,1.0,3,1.5,2,3,5,14,1.4,13,1.3,2,1,0,7,2.33333333333,3,1.0,2,3,5,14,1.4,13,1.3,30,Slow,Little,70,Long,Organised,35,Normal,65,Normal,35,Normal,Organised,30,Deep,55,Press,30,Narrow,Cover,70,Fast,Little,70,Long,Organised,60,Normal,30,Little,65,Normal,Organised,70,High,70,Double,70,Wide,Cover,180.801818182,76.4508698182,181.956363636,75.296272,71.63636363636364,78.0,76.2,71.0,66.25,,,,68.5,72.25,6 days 00:00:00.000000000,7 days 00:00:00.000000000,5549,4769,4769,2010/2011,11,8583,9831,1.95,3.1,4.33,4-2-3-1,4-2-3-1,H
0,1,0,1,1,0.5,0,0.0,5,2,3,9,0.9,4,0.4,3,0,0,5,1.66666666667,0,0.0,5,2,3,9,0.9,4,0.4,50,Balanced,Little,40,Mixed,Organised,30,Safe,40,Normal,60,Normal,Organised,70,High,70,Double,70,Wide,Cover,65,Balanced,Little,65,Mixed,Organised,55,Normal,60,Normal,60,Normal,Organised,30,Deep,30,Contain,30,Narrow,Offside Trap,180.34,76.7807549091,180.801818182,79.9146632727,68.27272727272727,74.72727272727273,68.6,69.0,67.5,70.0,78.72727272727273,68.6,68.5,72.5,7 days 00:00:00.000000000,7 days 00:00:00.000000000,5550,4769,4769,2010/2011,11,8521,9853,2.63,2.88,3.0,4-2-3-1,4-2-3-1,H
0,0,0,2,0,0.0,0,0.0,3,2,5,9,0.9,9,0.9,1,1,1,3,1.0,3,1.0,3,2,5,9,0.9,9,0.9,65,Balanced,Little,30,Short,Organised,50,Normal,65,Normal,40,Normal,Organised,70,High,65,Press,70,Wide,Cover,65,Balanced,Little,40,Mixed,Organised,60,Normal,70,Lots,30,Little,Organised,70,High,70,Double,70,Wide,Cover,180.109090909,78.7600654545,183.341818182,77.2755825455,71.54545454545455,78.0909090909091,71.8,69.5,72.25,,,71.0,69.5,,7 days 00:00:00.000000000,7 days 00:00:00.000000000,5551,4769,4769,2010/2011,11,7819,8481,2.05,3.0,4.0,4-2-3-1,4-2-3-1,A
0,2,1,0,4,1.33333333333,3,1.0,3,5,2,9,0.9,11,1.1,0,2,0,0,0.0,2,1.0,3,5,2,9,0.9,11,1.1,45,Balanced,Little,70,Long,Organised,30,Safe,50,Normal,40,Normal,Organised,70,High,60,Press,70,Wide,Offside Trap,50,Balanced,Little,65,Mixed,Organised,30,Safe,35,Normal,30,Little,Organised,30,Deep,50,Press,35,Normal,Cover,179.416363636,72.4097774545,181.032727273,75.7910996364,71.0,80.0909090909091,71.0,71.25,70.5,66.0909090909091,73.0,64.6,67.75,66.5,7 days 00:00:00.000000000,6 days 00:00:00.000000000,5552,4769,4769,2010/2011,11,8689,108893,1.5,4.0,6.5,4-2-2-2,4-2-2-2,H
0,1,1,0,3,1.5,2,1.0,3,4,3,11,1.1,13,1.3,1,1,1,4,1.33333333333,5,1.66666666667,3,4,3,11,1.1,13,1.3,60,Balanced,Little,40,Mixed,Organised,70,Risky,45,Normal,70,Lots,Organised,70,High,60,Press,70,Wide,Offside Trap,66,Balanced,Little,70,Long,Organised,35,Normal,40,Normal,50,Normal,Organised,65,Medium,30,Contain,65,Normal,Cover,183.803636364,77.3992894545,181.032727273,75.9560421818,77.9090909090909,85.81818181818181,78.6,74.66666666666667,80.0,64.54545454545455,75.36363636363636,63.8,60.5,67.5,6 days 00:00:00.000000000,7 days 00:00:00.000000000,5553,4769,4769,2010/2011,11,9748,9874,1.5,4.0,6.5,4-1-4-1,4-2-3-1,H
0,2,0,0,3,1.5,1,0.5,5,2,3,18,1.8,11,1.1,2,0,1,7,2.33333333333,2,0.666666666667,5,2,3,18,1.8,11,1.1,55,Balanced,Little,45,Mixed,Organised,70,Risky,65,Normal,70,Lots,Free Form,65,Medium,70,Double,65,Normal,Offside Trap,50,Balanced,Little,45,Mixed,Organised,70,Risky,60,Normal,60,Normal,Organised,70,High,70,Double,70,Wide,Cover,184.034545455,78.3064734545,182.418181818,77.11064,78.54545454545455,83.9090909090909,80.0,76.5,77.75,68.45454545454545,79.0,68.8,67.0,74.0,38 days 00:00:00.000000000,39 days 00:00:00.000000000,5554,4769,4769,2010/2011,11,8592,9851,1.67,3.5,5.5,4-2-3-1,4-5-1,D
0,0,2,1,0,0.0,3,1.0,1,3,6,7,0.7,9,0.9,0,1,1,1,0.5,2,1.0,1,3,6,7,0.7,9,0.9,35,Balanced,Little,55,Mixed,Organised,65,Normal,55,Normal,45,Normal,Organised,70,High,65,Press,70,Wide,Cover,70,Fast,Little,35,Mixed,Organised,70,Risky,50,Normal,70,Lots,Organised,55,Medium,70,Double,70,Wide,Offside Trap,181.263636364,76.7807549091,181.725454545,75.5024501818,,,,66.66666666666667,76.0,76.45454545454545,81.63636363636364,78.0,72.5,76.5,10 days 00:00:00.000000000,10 days 00:00:00.000000000,5555,4769,4769,2010/2011,11,9829,9827,2.8,2.9,2.75,4-1-4-1,4-2-3-1,D
0,2,0,0,5,2.5,1,0.5,5,3,2,10,1.0,9,0.9,1,2,0,2,0.666666666667,6,2.0,5,3,2,10,1.0,9,0.9,35,Balanced,Little,35,Mixed,Organised,55,Normal,35,Normal,70,Lots,Organised,70,High,70,Double,70,Wide,Offside Trap,50,Balanced,Little,65,Mixed,Organised,40,Normal,65,Normal,55,Normal,Organised,70,High,70,Double,70,Wide,Offside Trap,180.570909091,75.9560421818,180.34,74.5127949091,72.27272727272727,77.63636363636364,73.4,72.33333333333333,70.33333333333333,74.9090909090909,82.36363636363636,73.0,75.75,78.0,8 days 00:00:00.000000000,7 days 00:00:00.000000000,5556,4769,4769,2010/2011,11,10249,9847,2.6,2.9,3.0,4-1-4-1,4-2-2-2,D
0,0,1,1,1,0.5,3,1.5,5,3,2,13,1.3,10,1.0,1,1,1,4,1.33333333333,4,1.33333333333,5,3,2,13,1.3,10,1.0,35,Balanced,Little,70,Long,Organised,45,Normal,70,Lots,35,Normal,Organised,30,Deep,45,Press,30,Narrow,Cover,30,Slow,Little,30,Short,Organised,60,Normal,50,Normal,70,Lots,Organised,70,High,60,Press,70,Wide,Offside Trap,180.34,75.296272,181.032727273,76.8632261818,72.9090909090909,79.54545454545455,72.6,73.66666666666667,72.66666666666667,69.36363636363636,73.63636363636364,68.6,70.5,69.75,7 days 00:00:00.000000000,7 days 00:00:00.000000000,5557,4769,4769,2010/2011,11,9941,8588,1.75,3.3,5.25,4-1-4-1,4-2-3-1,D
0,1,0,1,3,1.5,2,1.0,3,3,4,11,1.1,10,1.0,1,2,0,3,1.0,3,1.0,3,3,4,11,1.1,10,1.0,60,Balanced,Little,70,Long,Organised,50,Normal,60,Normal,60,Normal,Organised,30,Deep,55,Press,30,Narrow,Cover,70,Fast,Little,60,Mixed,Organised,50,Normal,45,Normal,55,Normal,Organised,55,Medium,70,Double,55,Normal,Cover,181.263636364,73.7705534545,178.723636364,77.8116458182,71.45454545454545,77.45454545454545,71.4,70.33333333333333,72.66666666666667,76.54545454545455,83.72727272727273,75.4,76.66666666666667,78.33333333333333,8 days 00:00:00.000000000,7 days 00:00:00.000000000,5558,4769,4769,2010/2011,11,9873,8639,3.4,3.0,2.3,4-1-4-1,4-1-4-1,D
0,1,1,0,1,0.5,2,1.0,4,4,3,11,1.0,11,1.0,1,0,2,3,1.0,2,0.666666666667,4,4,3,11,1.0,11,1.0,70,Fast,Little,35,Mixed,Organised,70,Risky,50,Normal,70,Lots,Organised,55,Medium,70,Double,70,Wide,Offside Trap,60,Balanced,Little,70,Long,Organised,50,Normal,60,Normal,60,Normal,Organised,30,Deep,55,Press,30,Narrow,Cover,181.956363636,77.2343469091,181.263636364,73.7705534545,75.63636363636364,81.81818181818181,79.0,74.0,72.25,71.45454545454545,77.45454545454545,71.4,70.33333333333333,72.66666666666667,4 days 00:00:00.000000000,6 days 00:00:00.000000000,5560,4769,4769,2010/2011,12,9827,9873,1.73,3.3,5.5,4-2-3-1,4-1-4-1,D
0,1,1,1,1,0.333333333333,2,0.666666666667,2,5,4,9,0.818181818182,18,1.63636363636,0,1,1,1,0.5,4,2.0,2,5,4,9,0.818181818182,18,1.63636363636,30,Slow,Little,30,Short,Organised,60,Normal,50,Normal,70,Lots,Organised,70,High,60,Press,70,Wide,Offside Trap,35,Balanced,Little,35,Mixed,Organised,55,Normal,35,Normal,70,Lots,Organised,70,High,70,Double,70,Wide,Offside Trap,181.032727273,76.3271629091,180.801818182,75.3787432727,,,,70.5,70.25,71.81818181818181,77.0909090909091,72.4,72.33333333333333,70.33333333333333,8 days 00:00:00.000000000,7 days 00:00:00.000000000,5561,4769,4769,2010/2011,12,8588,10249,2.38,3.0,3.25,4-2-3-1,4-1-4-1,H
0,1,1,0,4,2.0,4,2.0,3,2,6,14,1.27272727273,12,1.09090909091,0,1,2,3,1.0,5,1.66666666667,3,2,6,14,1.27272727273,12,1.09090909091,70,Fast,Little,60,Mixed,Organised,50,Normal,45,Normal,55,Normal,Organised,55,Medium,70,Double,55,Normal,Cover,50,Balanced,Little,40,Mixed,Organised,30,Safe,40,Normal,60,Normal,Organised,70,High,70,Double,70,Wide,Cover,179.416363636,77.8941170909,179.416363636,76.5333410909,76.27272727272727,83.63636363636364,75.4,77.5,76.75,67.27272727272727,75.0909090909091,66.4,68.5,67.0,7 days 00:00:00.000000000,8 days 00:00:00.000000000,5562,4769,4769,2010/2011,12,8639,8521,1.67,3.5,5.5,4-2-3-1,4-2-2-2,H
0,1,1,0,3,1.5,3,1.5,4,5,2,13,1.18181818182,18,1.63636363636,1,1,1,5,1.66666666667,5,1.66666666667,4,5,2,13,1.18181818182,18,1.63636363636,65,Balanced,Little,40,Mixed,Organised,60,Normal,70,Lots,30,Little,Organised,70,High,70,Double,70,Wide,Cover,35,Balanced,Little,55,Mixed,Organised,65,Normal,55,Normal,45,Normal,Organised,70,High,65,Press,70,Wide,Cover,183.341818182,77.7704101818,181.725454545,78.1415309091,,,71.0,62.0,,,,,70.0,69.0,8 days 00:00:00.000000000,5 days 00:00:00.000000000,5563,4769,4769,2010/2011,12,8481,9829,2.2,3.0,3.6,4-2-2-2,4-1-4-1,A
0,1,1,0,3,1.5,3,1.5,3,4,4,9,0.818181818182,14,1.27272727273,0,2,1,0,0.0,3,1.0,3,4,4,9,0.818181818182,14,1.27272727273,70,Fast,Little,70,Long,Organised,60,Normal,30,Little,65,Normal,Organised,70,High,70,Double,70,Wide,Cover,35,Balanced,Little,70,Long,Organised,45,Normal,70,Lots,35,Normal,Organised,30,Deep,45,Press,30,Narrow,Cover,182.187272727,76.2859272727,181.956363636,76.3683985455,,,,69.66666666666667,72.33333333333333,72.72727272727273,79.81818181818181,72.6,75.0,70.66666666666667,8 days 00:00:00.000000000,8 days 00:00:00.000000000,5564,4769,4769,2010/2011,12,9831,9941,2.6,3.0,2.9,4-1-4-1,4-1-4-1,H
0,0,1,1,2,1.0,3,1.5,4,3,4,16,1.45454545455,10,0.909090909091,2,0,1,5,1.66666666667,1,0.333333333333,4,3,4,16,1.45454545455,10,0.909090909091,50,Balanced,Little,65,Mixed,Organised,40,Normal,65,Normal,55,Normal,Organised,70,High,70,Double,70,Wide,Offside Trap,55,Balanced,Little,45,Mixed,Organised,70,Risky,65,Normal,70,Lots,Free Form,65,Medium,70,Double,65,Normal,Offside Trap,180.34,74.5127949091,182.187272727,77.3580538182,74.9090909090909,82.36363636363636,73.0,75.75,78.0,79.0909090909091,85.0909090909091,79.4,78.66666666666667,79.0,7 days 00:00:00.000000000,-24 days +00:00:00.000000000,5565,4769,4769,2010/2011,12,9847,8592,2.5,3.1,2.9,4-2-2-2,4-1-4-1,H
0,1,1,0,3,1.5,2,1.0,5,1,5,12,1.09090909091,5,0.454545454545,1,0,2,2,0.666666666667,1,0.333333333333,5,1,5,12,1.09090909091,5,0.454545454545,50,Balanced,Little,45,Mixed,Organised,70,Risky,60,Normal,60,Normal,Organised,70,High,70,Double,70,Wide,Cover,60,Balanced,Little,40,Mixed,Organised,70,Risky,45,Normal,70,Lots,Organised,70,High,60,Press,70,Wide,Offside Trap,181.725454545,75.9148065455,181.956363636,76.5333410909,69.63636363636364,80.54545454545455,67.4,71.66666666666667,71.33333333333333,79.54545454545455,86.27272727272727,79.0,80.66666666666667,79.33333333333333,-25 days +00:00:00.000000000,7 days 00:00:00.000000000,5566,4769,4769,2010/2011,12,9851,9748,2.7,3.0,2.8,4-1-4-1,4-1-4-1,D
0,0,0,2,2,1.0,2,1.0,5,3,3,15,1.36363636364,12,1.09090909091,1,2,0,2,0.666666666667,4,1.33333333333,5,3,3,15,1.36363636364,12,1.09090909091,65,Balanced,Little,65,Mixed,Organised,55,Normal,60,Normal,60,Normal,Organised,30,Deep,30,Contain,30,Narrow,Offside Trap,45,Balanced,Little,70,Long,Organised,30,Safe,50,Normal,40,Normal,Organised,70,High,60,Press,70,Wide,Offside Trap,181.725454545,78.6775941818,177.569090909,71.7912429091,69.72727272727273,77.63636363636364,69.2,68.33333333333333,72.0,71.63636363636364,79.81818181818181,70.6,73.5,70.5,7 days 00:00:00.000000000,7 days 00:00:00.000000000,5567,4769,4769,2010/2011,12,9853,8689,1.91,3.25,4.33,4-1-4-1,4-2-2-2,A
0,1,1,0,4,2.0,3,1.5,4,6,1,18,1.63636363636,16,1.45454545455,0,3,0,2,0.666666666667,6,2.0,4,6,1,18,1.63636363636,16,1.45454545455,66,Balanced,Little,70,Long,Organised,35,Normal,40,Normal,50,Normal,Organised,65,Medium,30,Contain,65,Normal,Cover,30,Slow,Little,70,Long,Organised,35,Normal,65,Normal,35,Normal,Organised,30,Deep,55,Press,30,Narrow,Cover,181.956363636,76.8219905455,179.878181818,76.4508698182,67.27272727272727,76.0,65.2,69.0,69.0,69.81818181818181,75.63636363636364,73.8,67.0,66.25,7 days 00:00:00.000000000,7 days 00:00:00.000000000,5568,4769,4769,2010/2011,12,9874,8583,2.25,3.0,3.5,4-1-3-2,4-2-3-1,D
0,1,1,0,2,1.0,1,0.5,3,3,6,17,1.41666666667,14,1.16666666667,2,0,1,8,2.66666666667,3,1.0,3,3,6,17,1.41666666667,14,1.16666666667,30,Slow,Little,70,Long,Organised,35,Normal,65,Normal,35,Normal,Organised,30,Deep,55,Press,30,Narrow,Cover,50,Balanced,Little,45,Mixed,Organised,70,Risky,60,Normal,60,Normal,Organised,70,High,70,Double,70,Wide,Cover,180.34,77.564232,183.341818182,78.2652378182,70.45454545454545,76.72727272727273,73.8,71.0,66.0,67.63636363636364,79.27272727272727,71.0,64.33333333333333,65.33333333333333,8 days 00:00:00.000000000,8 days 00:00:00.000000000,5569,4769,4769,2010/2011,13,8583,9851,2.4,3.0,3.2,4-2-3-1,4-1-4-1,H
0,1,1,1,2,0.666666666667,3,1.0,4,4,4,12,1.0,12,1.0,1,0,1,3,1.5,2,1.0,4,4,4,12,1.0,12,1.0,70,Fast,Little,35,Mixed,Organised,70,Risky,50,Normal,70,Lots,Organised,55,Medium,70,Double,70,Wide,Offside Trap,65,Balanced,Little,40,Mixed,Organised,60,Normal,70,Lots,30,Little,Organised,70,High,70,Double,70,Wide,Cover,184.034545455,77.564232,185.42,78.8425367273,76.81818181818181,82.0,78.2,77.0,74.33333333333333,,,67.6,62.5,,7 days 00:00:00.000000000,6 days 00:00:00.000000000,5570,4769,4769,2010/2011,13,9827,8481,1.75,3.3,5.25,4-1-4-1,4-2-3-1,H
0,1,0,1,2,1.0,0,0.0,6,3,3,12,1.0,7,0.583333333333,2,1,0,4,1.33333333333,3,1.0,6,3,3,12,1.0,7,0.583333333333,50,Balanced,Little,40,Mixed,Organised,30,Safe,40,Normal,60,Normal,Organised,70,High,70,Double,70,Wide,Cover,66,Balanced,Little,70,Long,Organised,35,Normal,40,Normal,50,Normal,Organised,65,Medium,30,Contain,65,Normal,Cover,180.34,76.7807549091,181.725454545,76.7395192727,68.27272727272727,74.72727272727273,68.6,68.5,67.0,67.0,76.9090909090909,64.6,69.0,69.0,6 days 00:00:00.000000000,7 days 00:00:00.000000000,5571,4769,4769,2010/2011,13,8521,9874,2.0,3.2,4.0,4-2-2-2,4-1-3-2,D
0,0,1,1,2,1.0,3,1.5,3,4,5,13,1.08333333333,15,1.25,0,2,1,4,1.33333333333,6,2.0,3,4,5,13,1.08333333333,15,1.25,65,Balanced,Little,30,Short,Organised,50,Normal,65,Normal,40,Normal,Organised,70,High,65,Press,70,Wide,Cover,70,Fast,Little,60,Mixed,Organised,50,Normal,45,Normal,55,Normal,Organised,55,Medium,70,Double,55,Normal,Cover,181.263636364,79.4610712727,180.109090909,77.2343469091,70.63636363636364,77.72727272727273,69.6,69.5,72.5,74.72727272727273,82.81818181818181,75.2,70.33333333333333,78.33333333333333,7 days 00:00:00.000000000,6 days 00:00:00.000000000,5572,4769,4769,2010/2011,13,7819,8639,3.5,3.0,2.25,4-2-3-1,4-1-4-1,A
