,home_V,home_D,home_E,home_GF,home_AVG_GF,home_GS,home_AVG_GS,home_VG,home_DG,home_EG,home_GFG,home_AVG_GFG,home_GSG,home_AVG_GSG,away_V,away_D,away_E,away_GF,away_AVG_GF,away_GS,away_AVG_GS,away_VG,away_DG,away_EG,away_GFG,away_AVG_GFG,away_GSG,away_AVG_GSG,h_buildUpPlaySpeed,h_buildUpPlaySpeedClass,h_buildUpPlayDribblingClass,h_buildUpPlayPassing,h_buildUpPlayPassingClass,h_buildUpPlayPositioningClass,h_chanceCreationPassing,h_chanceCreationPassingClass,h_chanceCreationCrossing,h_chanceCreationCrossingClass,h_chanceCreationShooting,h_chanceCreationShootingClass,h_chanceCreationPositioningClass,h_defencePressure,h_defencePressureClass,h_defenceAggression,h_defenceAggressionClass,h_defenceTeamWidth,h_defenceTeamWidthClass,h_defenceDefenderLineClass,a_buildUpPlaySpeed,a_buildUpPlaySpeedClass,a_buildUpPlayDribblingClass,a_buildUpPlayPassing,a_buildUpPlayPassingClass,a_buildUpPlayPositioningClass,a_chanceCreationPassing,a_chanceCreationPassingClass,a_chanceCreationCrossing,a_chanceCreationCrossingClass,a_chanceCreationShooting,a_chanceCreationShootingClass,a_chanceCreationPositioningClass,a_defencePressure,a_defencePressureClass,a_defenceAggression,a_defenceAggressionClass,a_defenceTeamWidth,a_defenceTeamWidthClass,a_defenceDefenderLineClass,h_avg_height,h_avg_weight,a_avg_height,a_avg_weight,h_overall,h_potential,h_def,h_mid,h_att,a_overall,a_potential,a_def,a_mid,a_att,h_date,a_date,id,country_id,league_id,season,stage,home_team_api_id,away_team_api_id,B365H,B365D,B365A,formation_h,formation_a,Output
0,0,2,0,0,0.0,7,3.5,0,8,1,3,0.333333333333,20,2.22222222222,0,2,1,1,0.333333333333,7,2.33333333333,0,8,1,3,0.333333333333,20,2.22222222222,50,Balanced,Little,65,Mixed,Organised,30,Safe,35,Normal,30,Little,Organised,30,Deep,50,Press,35,Normal,Cover,60,Balanced,Little,40,Mixed,Organised,70,Risky,45,Normal,70,Lots,Organised,70,High,60,Press,70,Wide,Offside Trap,180.109090909,74.3066167273,181.263636364,76.3271629091,66.81818181818181,73.9090909090909,64.6,65.66666666666667,71.66666666666667,80.18181818181819,86.63636363636364,78.2,80.0,82.75,8 days 00:00:00.000000000,7 days 00:00:00.000000000,5539,4769,4769,2010/2011,10,108893,9748,7.0,4.0,1.5,4-1-3-2,4-2-3-1,D
0,2,0,0,3,1.5,0,0.0,4,3,2,9,1.0,7,0.777777777778,1,1,1,2,0.666666666667,2,0.666666666667,4,3,2,9,1.0,7,0.777777777778,70,Fast,Little,35,Mixed,Organised,70,Risky,50,Normal,70,Lots,Organised,55,Medium,70,Double,70,Wide,Offside Trap,50,Balanced,Little,40,Mixed,Organised,30,Safe,40,Normal,60,Normal,Organised,70,High,70,Double,70,Wide,Cover,184.727272727,79.5023069091,180.34,76.7807549091,76.0909090909091,81.0909090909091,75.8,77.0,76.0,68.27272727272727,74.72727272727273,68.6,68.5,67.0,7 days 00:00:00.000000000,7 days 00:00:00.000000000,5540,4769,4769,2010/2011,10,9827,8521,1.6,3.6,6.0,4-2-3-1,4-2-2-2,A
0,0,2,1,1,0.333333333333,6,2.0,1,5,3,7,0.777777777778,17,1.88888888889,0,1,1,1,0.5,4,2.0,1,5,3,7,0.777777777778,17,1.88888888889,30,Slow,Little,30,Short,Organised,60,Normal,50,Normal,70,Lots,Organised,70,High,60,Press,70,Wide,Offside Trap,70,Fast,Little,70,Long,Organised,60,Normal,30,Little,65,Normal,Organised,70,High,70,Double,70,Wide,Cover,180.34,75.4199789091,182.649090909,76.5333410909,69.72727272727273,74.81818181818181,68.6,71.0,70.5,,,,68.5,72.5,6 days 00:00:00.000000000,6 days 00:00:00.000000000,5541,4769,4769,2010/2011,10,8588,9831,2.15,3.1,3.6,4-2-3-1,4-2-3-1,H
0,2,0,0,4,2.0,1,0.5,3,1,5,12,1.33333333333,8,0.888888888889,1,1,1,6,2.0,5,1.66666666667,3,1,5,12,1.33333333333,8,0.888888888889,70,Fast,Little,60,Mixed,Organised,50,Normal,45,Normal,55,Normal,Organised,55,Medium,70,Double,55,Normal,Cover,55,Balanced,Little,45,Mixed,Organised,70,Risky,65,Normal,70,Lots,Free Form,65,Medium,70,Double,65,Normal,Offside Trap,178.030909091,77.1931112727,181.956363636,76.9044618182,76.9090909090909,83.9090909090909,76.2,76.66666666666667,78.33333333333333,79.0,84.54545454545455,79.8,77.66666666666667,79.0,7 days 00:00:00.000000000,8 days 00:00:00.000000000,5542,4769,4769,2010/2011,10,8639,8592,2.5,3.1,2.9,4-1-4-1,4-1-4-1,A
0,0,1,1,0,0.0,1,0.5,1,2,6,7,0.777777777778,7,0.777777777778,0,1,2,3,1.0,4,1.33333333333,1,2,6,7,0.777777777778,7,0.777777777778,35,Balanced,Little,55,Mixed,Organised,65,Normal,55,Normal,45,Normal,Organised,70,High,65,Press,70,Wide,Cover,60,Balanced,Little,70,Long,Organised,50,Normal,60,Normal,60,Normal,Organised,30,Deep,55,Press,30,Narrow,Cover,181.494545455,77.3168181818,181.956363636,74.7602087273,,,,71.0,75.25,71.18181818181819,76.9090909090909,70.8,70.33333333333333,72.66666666666667,7 days 00:00:00.000000000,6 days 00:00:00.000000000,5543,4769,4769,2010/2011,10,9829,9873,2.0,3.2,3.9,4-2-3-1,4-1-4-1,A
0,0,2,0,2,1.0,5,2.5,2,5,2,9,1.0,16,1.77777777778,1,1,1,4,1.33333333333,4,1.33333333333,2,5,2,9,1.0,16,1.77777777778,65,Balanced,Little,40,Mixed,Organised,60,Normal,70,Lots,30,Little,Organised,70,High,70,Double,70,Wide,Cover,45,Balanced,Little,70,Long,Organised,30,Safe,50,Normal,40,Normal,Organised,70,High,60,Press,70,Wide,Offside Trap,182.187272727,77.4405250909,178.030909091,70.9665301818,,,71.2,69.5,,70.63636363636364,79.45454545454545,70.2,71.25,70.5,7 days 00:00:00.000000000,6 days 00:00:00.000000000,5544,4769,4769,2010/2011,10,8481,8689,2.35,3.0,3.25,4-2-3-1,4-2-2-2,H
0,1,0,2,4,1.33333333333,0,0.0,4,2,3,13,1.44444444444,6,0.666666666667,2,0,0,4,2.0,0,0.0,4,2,3,13,1.44444444444,6,0.666666666667,50,Balanced,Little,65,Mixed,Organised,40,Normal,65,Normal,55,Normal,Organised,70,High,70,Double,70,Wide,Offside Trap,30,Slow,Little,70,Long,Organised,35,Normal,65,Normal,35,Normal,Organised,30,Deep,55,Press,30,Narrow,Cover,180.34,74.5127949091,180.801818182,76.4508698182,74.9090909090909,82.36363636363636,73.0,73.5,78.0,71.63636363636364,78.0,76.2,71.0,66.25,8 days 00:00:00.000000000,8 days 00:00:00.000000000,5545,4769,4769,2010/2011,10,9847,8583,1.75,3.4,5.0,4-2-3-1,4-2-3-1,A
0,2,0,0,5,2.5,2,1.0,5,0,4,12,1.33333333333,4,0.444444444444,1,0,2,2,0.666666666667,1,0.333333333333,5,0,4,12,1.33333333333,4,0.444444444444,50,Balanced,Little,45,Mixed,Organised,70,Risky,60,Normal,60,Normal,Organised,70,High,70,Double,70,Wide,Cover,35,Balanced,Little,35,Mixed,Organised,55,Normal,35,Normal,70,Lots,Organised,70,High,70,Double,70,Wide,Offside Trap,181.956363636,77.8528814545,180.570909091,75.9560421818,68.36363636363636,78.9090909090909,67.2,73.0,65.66666666666667,72.27272727272727,77.63636363636364,73.4,72.33333333333333,70.33333333333333,6 days 00:00:00.000000000,7 days 00:00:00.000000000,5546,4769,4769,2010/2011,10,9851,10249,1.83,3.3,4.6,4-1-4-1,4-1-4-1,A
0,1,0,1,4,2.0,1,0.5,5,2,2,14,1.55555555556,9,1.0,2,1,0,3,1.0,2,0.666666666667,5,2,2,14,1.55555555556,9,1.0,65,Balanced,Little,65,Mixed,Organised,55,Normal,60,Normal,60,Normal,Organised,30,Deep,30,Contain,30,Narrow,Offside Trap,65,Balanced,Little,30,Short,Organised,50,Normal,65,Normal,40,Normal,Organised,70,High,65,Press,70,Wide,Cover,179.185454545,77.3992894545,180.801818182,78.6363585455,70.36363636363636,78.0909090909091,68.6,71.33333333333333,72.33333333333333,71.36363636363636,79.18181818181819,71.4,69.5,72.25,6 days 00:00:00.000000000,7 days 00:00:00.000000000,5547,4769,4769,2010/2011,10,9853,7819,1.8,3.3,4.75,4-1-4-1,4-2-3-1,D
0,2,0,0,7,3.5,0,0.0,4,4,1,16,1.77777777778,11,1.22222222222,0,3,0,2,0.666666666667,6,2.0,4,4,1,16,1.77777777778,11,1.22222222222,66,Balanced,Little,70,Long,Organised,35,Normal,40,Normal,50,Normal,Organised,65,Medium,30,Contain,65,Normal,Cover,35,Balanced,Little,70,Long,Organised,45,Normal,70,Lots,35,Normal,Organised,30,Deep,45,Press,30,Narrow,Cover,182.187272727,77.3992894545,180.34,75.296272,68.45454545454545,75.45454545454545,67.8,69.0,69.0,72.9090909090909,79.54545454545455,72.6,73.66666666666667,72.66666666666667,7 days 00:00:00.000000000,7 days 00:00:00.000000000,5548,4769,4769,2010/2011,10,9874,9941,2.25,3.0,3.5,4-1-3-2,4-1-4-1,A
